Property ID,Open,Parcel Number,Address,Address,Description,Project Area,City,latitude,longitude
334,Open,5127-029-903,"206 E WASHINGTON BLVD , Los Angeles, CA",206 E WASHINGTON BLVD,"<div>Former La Opinion Structure. &nbsp;206 East Washington, 1918 South Los Angeles St</div>",Adams/Normandie,", Los Angeles, CA",34.0300484,-118.2633133
334,Open,5127-029-904,"206 E WASHINGTON BLVD , Los Angeles, CA",206 E WASHINGTON BLVD,"<div>Former La Opinion Structure. &nbsp;206 East Washington, 1918 South Los Angeles St</div>",Council District 9,", Los Angeles, CA",34.0300484,-118.2633133
475,Open,5174-018-900,"110 S BOYLE AVE , Los Angeles, CA",110 S BOYLE AVE,"<div>Former Laundromat, since been demolished. &nbsp;</div>",Adelante Eastside,", Los Angeles, CA",34.0469093,-118.2194977
223,Open,6007-005-900,"812 E 59Th St , Los Angeles, CA",812 E 59Th St,<div>Goodyear industrial tract property improved with 2 adjoining bldgs. &nbsp;Brownsfields site with cleanup funding from TI.</div>,Adelante Eastside,", Los Angeles, CA",33.9867706,-118.2611084
261,Open,5053-026-911,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Adelante Eastside,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-902,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-903,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-905,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Hollywood,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-906,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pacoima/Panorama City,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-907,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Hollywood,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-908,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,CBD Amended,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-901,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-910,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Watts,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-904,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,CBD Amended,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-913,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,CBD Amended,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-914,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Hollywood,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-915,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-917,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-918,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-919,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-909,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Pico Union 1,", Los Angeles, CA",34.0308454,-118.303153
261,Open,5053-026-900,"1806 W 27Th St , Los Angeles, CA",1806 W 27Th St,<div>Halldale Park</div>,Hollywood,", Los Angeles, CA",34.0308454,-118.303153
275,Open,6053-006-053,"9426 S Broadway , Los Angeles, CA",9426 S Broadway,<div>Heavenly Vision Housing. Heavenly Vision Economic as owner per Assessor - CRA maintains ground lease &amp; loan on property.</div>,Hollywood,", Los Angeles, CA",33.950701,-118.278079
243,Open,5141-001-904,"634 S Alvarado St , Los Angeles, CA",634 S Alvarado St,<div>Historical Westlake Theatre. Currently utilized as a swap meet. &nbsp;Beginning discussions with developer.</div>,CBD Amended,", Los Angeles, CA",34.0582466,-118.2751846
218,Open,6006-030-901,"5888 Crocker St , Los Angeles, CA",5888 Crocker St,"<div>Industrial plating shop. &nbsp;Purchased along with 6006-030-005 &amp; 006, located at 5879-5887 Crocker. &nbsp;Brownsfields site with cleanup funding from TI.</div>",Pico Union 1,", Los Angeles, CA",33.9873009,-118.268219
173,Open,5149-036-016,"546 S Spring St , Los Angeles, CA",546 S Spring St,<div>LA Garage &nbsp;parking. &nbsp;Property to be sold.</div>,Vermont Manchester,", Los Angeles, CA",34.0462112,-118.2502213
494,Open,6065-022-903,"Grandee/Willowbrook Ave. , Los Angeles, CA",Grandee/Willowbrook Ave.,<div>MTA Traction Control Station</div>,Watts,", Los Angeles, CA",34.0534897,-118.2453232
494,Open,6065-022-902,"Grandee/Willowbrook Ave. , Los Angeles, CA",Grandee/Willowbrook Ave.,<div>MTA Traction Control Station</div>,Watts Corridors,", Los Angeles, CA",34.0534897,-118.2453232
494,Open,6065-022-901,"Grandee/Willowbrook Ave. , Los Angeles, CA",Grandee/Willowbrook Ave.,<div>MTA Traction Control Station</div>,Hollywood,", Los Angeles, CA",34.0534897,-118.2453232
488,Open,5502-025-900,"601 South Vermont Ave. , Los Angeles, CA",601 South Vermont Ave.,<div>Municpal Parking Lot 692 (100602). &nbsp;In process of purchasing from DOT.</div>,Hollywood,", Los Angeles, CA",34.063504,-118.2916979
269,Open,6048-012-930,"1501 E 103rd St , Los Angeles, CA",1501 E 103rd St,"<div>Old Watts Library site, currently used for storage.</div>",Hollywood,", Los Angeles, CA",33.943573,-118.247963
378,Open,5059-003-901,"4337 W Adams Blvd , Los Angeles, CA",4337 W Adams Blvd,"<div>Parcel of land that includes a vacant, partially demolished I story improvement.</div>",Hollywood,", Los Angeles, CA",34.0328789,-118.3338623
152,Open,5147-024-901,"557 Crocker St , Los Angeles, CA",557 Crocker St,"<div>Parking lot, used for transitional housing.</div>",Normandie 5,", Los Angeles, CA",34.0422363,-118.2442551
152,Open,5147-024-900,"557 Crocker St , Los Angeles, CA",557 Crocker St,"<div>Parking lot, used for transitional housing.</div>",Normandie 5,", Los Angeles, CA",34.0422363,-118.2442551
294,Open,6065-023-903,"Graham/Grandee Ave. , Los Angeles, CA",Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5,", Los Angeles, CA",34.0534897,-118.2453232
294,Open,6065-023-900,"Graham/Grandee Ave. , Los Angeles, CA",Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5,", Los Angeles, CA",34.0534897,-118.2453232
294,Open,6065-023-911,"Graham/Grandee Ave. , Los Angeles, CA",Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5,", Los Angeles, CA",34.0534897,-118.2453232
294,Open,6065-023-910,"Graham/Grandee Ave. , Los Angeles, CA",Graham/Grandee Ave.,<div>Plaza in fron of train station; land for pedestrian overpass</div>,Normandie 5,", Los Angeles, CA",34.0534897,-118.2453232
239,Open,5546-016-900,"1357 Vine St , Los Angeles, CA",1357 Vine St,"<div>Project stalled due to economy, probably 5 years away from project start. &nbsp;Will make offer to AMAS to purchase, otherwise may need to convey or potentially liquidate.</div>",Normandie 5,", Los Angeles, CA",34.0960121,-118.3270187
87,Open,5046-004-900,"3900 W Jefferson Blvd , Los Angeles, CA",3900 W Jefferson Blvd,"<div>Recyling Center and Automotive Repair. &nbsp;Brownsfields property with cleanup funding from TI, OSCR, and CDBG.</div>",Normandie 5,", Los Angeles, CA",34.0252876,-118.3386688
87,Open,5046-004-901,"3900 W Jefferson Blvd , Los Angeles, CA",3900 W Jefferson Blvd,"<div>Recyling Center and Automotive Repair. &nbsp;Brownsfields property with cleanup funding from TI, OSCR, and CDBG.</div>",Normandie 5,", Los Angeles, CA",34.0252876,-118.3386688
87,Open,5046-004-902,"3900 W Jefferson Blvd , Los Angeles, CA",3900 W Jefferson Blvd,"<div>Recyling Center and Automotive Repair. &nbsp;Brownsfields property with cleanup funding from TI, OSCR, and CDBG.</div>",Normandie 5,", Los Angeles, CA",34.0252876,-118.3386688
44,Open,2119-020-900,"18447 Sherman Way , Los Angeles, CA",18447 Sherman Way,<div>Reseda Theater (Vacant) plus additional parking.</div>,Normandie 5,", Los Angeles, CA",34.201435,-118.535339
177,Open,5161-012-014,"110 S San Pedro St , Los Angeles, CA",110 S San Pedro St,"<div>San Pedro Firm Apts. &nbsp;CRA/LA owns land, with lease that expires 12/31/2044.</div>",Normandie 5,", Los Angeles, CA",34.0505676,-118.240181
434,Open,5051-005-901,"4314 W ADAMS BLVD , Los Angeles, CA",4314 W ADAMS BLVD,<div>Self Serve Car Wash Operation.</div>,Normandie 5,", Los Angeles, CA",34.0323105,-118.3323364
434,Open,5051-005-902,"4314 W ADAMS BLVD , Los Angeles, CA",4314 W ADAMS BLVD,<div>Self Serve Car Wash Operation.</div>,Normandie 5,", Los Angeles, CA",34.0323105,-118.3323364
386,Open,5544-002-900,"1816 N Wilton Place , Los Angeles, CA",1816 N Wilton Place,"<div>SFR acquired through foreclosure. &nbsp;Currently vacant, but will be turn over to non profit for transitional housing. CRA as owner per Assessor</div>",Normandie 5,", Los Angeles, CA",34.1039619,-118.3133011
290,Open,6065-022-900,"1663 E 108th St , Los Angeles, CA",1663 E 108th St,<div>Small piece of land purchased from the railroad in 2003. &nbsp;Originally intended to be part of MTA Park &amp; Ride lot. &nbsp;</div>,Normandie 5,", Los Angeles, CA",33.9379048,-118.2433719
376,Open,2125-036-900,"18128 Sherman Way , Los Angeles, CA",18128 Sherman Way,<div>Small retail strip center.</div>,Normandie 5,", Los Angeles, CA",34.200717,-118.528579
279,Open,6053-006-904,"9513 S Spring St , Los Angeles, CA",9513 S Spring St,<div>Small vacant lot for proposed pocket park.</div>,Normandie 5,", Los Angeles, CA",33.9494553,-118.2767715
160,Open,5149-010-023,"420 W. 2nd Street , Los Angeles, CA",420 W. 2nd Street,"<div>Surface over 2nd St. tunnes - leased by Automate Parking, Inc. &nbsp;</div>",Normandie 5,", Los Angeles, CA",33.7424462,-118.2863335
5,Open,2350-017-904,"5203 Lankershim Blvd , Los Angeles, CA",5203 Lankershim Blvd,"<div>The Arts &nbsp;Park. &nbsp;40% of parcel used for outdoor dining for adjacent Pitfire Pizza, also used as patio for public use. &nbsp;Parcel is fully landscaped and contains community kiosk.</div>",Reseda/Canoga Park,", Los Angeles, CA",34.1651039,-118.375145
310,Open,7424-014-904,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-902,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Wilshire Center / Koreatown,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-905,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-912,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-901,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Watts,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-900,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Reseda/Canoga Park,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-906,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Adelante Eastside,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-908,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Normandie 5,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-909,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Adams/Normandie,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-911,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Central Industrial,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-913,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Bunker Hill,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-914,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Council District 9,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-915,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Council District 9,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-907,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Council District 9,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-903,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Bunker Hill,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-916,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Broadway/Manchester,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-917,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Broadway/Manchester,", Los Angeles, CA  90744",33.7761192,-118.2530365
310,Open,7424-014-910,"507 McFarland Avenue , Los Angeles, CA  90744",507 McFarland Avenue,<div>Unpaved lot - union ice development. &nbsp;Parcel has oil well and related petroleum operations contamination. &nbsp;Cleanup funding from CRA and CDBG.</div>,Broadway/Manchester,", Los Angeles, CA  90744",33.7761192,-118.2530365
215,Open,6002-030-906,"6300 S Western Ave , Los Angeles, CA",6300 S Western Ave,<div>Vacant land. Parcel has gas station contamination with EPA Brownsfield cleanup grant.</div>,Broadway/Manchester,", Los Angeles, CA",33.9821815,-118.3086319
205,Open,5302-010-923,"4500 E Via Marisol , Los Angeles, CA",4500 E Via Marisol,<div>Vacant land-parcel S. &nbsp;Contains hillsides that require regular brush clearnance.</div>,Broadway/Manchester,", Los Angeles, CA",34.0985826,-118.1820761
6,Open,2350-018-915,"11115 McCormick St , Los Angeles, CA",11115 McCormick St,"<div>Vacant lot, small remnant parcel from NoHo project.</div>",Broadway/Manchester,", Los Angeles, CA",34.166244,-118.372947
224,Open,6007-016-014,"6900 Stanford Ave , Los Angeles, CA",6900 Stanford Ave,"<div>Vacant parcel of land. &nbsp;Former transformer repair facilities with VOCS and PCBs contamination. &nbsp;Cleanup funding from CRA, CDBG and owner.</div>",Broadway/Manchester,", Los Angeles, CA",33.9772644,-118.2625427
345,Open,2337-035-900,"5623/5633 Elmer Ave , Los Angeles, CA",5623/5633 Elmer Ave,<div>Vacant parcel to be developed as 10-unit affordable homeownership housing project.</div>,Broadway/Manchester,", Los Angeles, CA",34.172988,-118.376602
345,Open,2337-035-901,"5623/5633 Elmer Ave , Los Angeles, CA",5623/5633 Elmer Ave,<div>Vacant parcel to be developed as 10-unit affordable homeownership housing project.</div>,Broadway/Manchester,", Los Angeles, CA",34.172988,-118.376602
