,Ave 49 thru Ave 52,,Sycamore Grove Park,1,07/29/15,"signs, fencing, T gate, weed abatement","Jose Rodriguez, CD 1",07/29/15,,$69.64,,,"7/29/15 - site visit & walk-thru with CD 1,LAPD & RAP 8/4/15 - site visit with CFD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15329,De Pauw,Pacific Palisades,,11,08/03/15,gate vandalized,"Wallace Leifer, neighbor",08/03/15,,,,,The front gate on the right has been broken & vandals get around to the back. Please check all gates @ both properties & also see if there has been additional entry from the back into the homes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,E 110TH,LA 90059,vacant lot,15,08/03/15,fire brush clearance,"Nicole Wells, CD 15",08/04/15,"3,090.00",,,,8/11/15 - estimate rec'd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11950,Missouri,LA 90025,Old West Animal Shelter,11,08/04/15,graffitti,"Dave Paschal, GSD",08/04/15,"7,896.00",,08/21/15,,"8/4/15 - Inspected by Rodolfo A Esqueda then reported to David Paschal 8/5/15 - estimate received",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14123,Nordhoff,,FS 7,6,08/07/15,"remove homeless, install fence, sign, board-up",Lorena Bernal CD 6,08/07/15,495.00,,,,8/11/15 - fence to be installed 08/13/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Manchester,LA ,FS 57,8,08/06/15,"quote to demolish building, fencing","Solomon Rivera, CD8",08/06/15,"82,835.00",,,,CD 8 request made on 8/6/15 mtg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,W 85TH PL,LA 90045,,11,08/11/15,"weeds, trash",3-1-1- Service Request ID : 00184759,08/11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,103rd Street,,FS 65,15,08/19/15,"stolen copper pipes, fix water pipes, estimate to separate utility meter with YoWatts, secure facility",Heather Anderson/Lorena Arellano CD 15; McCormick/Cooper-GSD,08/25/15,"1,250.09",,,,Estimate is for recapping copper pipes only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4630,Griffin Avenue,LA 90031,,1,08/27/15,"fence, sign","Melinda Ramos-Alatorree, CD 1",08/27/15,,$0.00,09/01/15,,"Google map shows it’s the continuation of Ave 52-Sycamore Grove Park. Need to verify.  9/1/15 - Property belongs to RAP, per Joe.  Canceled work order to CFD. Informed CD 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94th & Broadway ,,APN: 6053-006-926,,08/27/15,clean-up,"solomon Rivera, CD 8",08/27/15,,$0.00,08/31/15,,8/31/15 - Joe researched property belongs to HCIDLA.  Informed CD 8 & HCID Vasken& Doug.  CFD request canceled.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chatsworth,Nike Browns Canyon silo,,09/02/15,broken roof cap; cap roof with lite weight concrete,Thom Bylard/Michael Loaiza,09/02/15,"11,984.00",,09/21/15,,"9/2/15 - not part of original estimate since roof was not broken at that time. Change order submitted by CFD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Arlington,,Old Washington Library,8,09/14/15,"trash pick-up, clean-up",GSD/Melody/,09/14/15,,,09/17/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,Arlington,LA,Old Washington Library,8,07/23/15,Secure View Proposal - install window covering & maintenance,Tony/Val,,"6,753.00","$6,753.00",09/14/15,,"7/23/15 - issue one time PO to Intuitive Real Estate Solutions per tony8/10/15 - PO issued by Connie Espinosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
