City,Address,Case#,CD,Inspector,Area,Building Type,Approved Use,File Assigned To,Size,,,Abate Effective
Los Angeles,1038 W 24TH ST,108469,1,TIM FONG,II,V,APT,Code: CNA,30,75,2250,6/14/04
Los Angeles,1720 W 27TH ST,675085,8,TIM FONG,II,V,SFD,Code: CNA,0,0,0,3/10/15
Los Angeles,2159 W 27TH ST,392819,10,TIM FONG,II,V,SFD,Code: CNA,0,0,0,9/20/10
Los Angeles,2285 W 28TH ST,507529,10,TIM FONG,II,V,SFD,Code: CNA,0,0,0,8/6/13
Los Angeles,4200 W 28TH ST,203820,10,TIM FONG,II,V,APT,Code: CNA,20,40,800,6/15/07
Los Angeles,1172 W 29TH ST,407136,9,TIM FONG,II,V,APT,Code: CNA,0,0,0,3/2/11
Los Angeles,1633 E 33RD ST,202975,9,TIM FONG,II,V,CHURCH,Code: CNA,62,46,2852,6/6/07
Los Angeles,171 E 35TH ST,480196,9,JEFFREY CORPUZ,II,V,APT,Code: CNA,50,60,3000,10/8/12
Los Angeles,1001 E 35TH ST,101326,9,JEFFREY CORPUZ,II,V,COMMERCIAL,Code: CNA,0,0,0,7/7/97
Los Angeles,1723 W 38TH ST,134612,8,TIM FONG,II,V,SFD,Code: CNA,30,45,1350,3/10/05
Los Angeles,1235 W 39TH ST,499481,8,TIM FONG,II,V,SFD,Code: CNA,0,0,0,5/21/13
Los Angeles,1237 W 39TH ST,499490,8,TIM FONG,II,V,SFD,Code: CNA,0,0,0,5/21/13
Los Angeles,1654 W 39TH ST,678346,8,TIM FONG,II,V,SFD,Code: CNA,0,0,0,4/23/15
Los Angeles,4911 S 3RD AVE,259492,8,TIM FONG,II,V,SFD,Code: CNA,0,0,0,4/2/09
Los Angeles,922 E 40TH PL,679299,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,0,0,0,5/8/15
Los Angeles,325 W 41ST ST,671705,9,JEFFREY CORPUZ,II,V,APT,Code: CNA,26,76,1976,2/2/15
Los Angeles,459 W 41ST ST,556110,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,35,55,1925,3/24/14
Los Angeles,715 W 41ST ST,316482,9,TIM FONG,II,V,DUPLEX,Code: CNA,0,0,0,9/17/09
Los Angeles,850 W 42ND ST,685963,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,24,25,600,6/24/15
Los Angeles,1106 W 42ND ST,155764,9,TIM FONG,II,V,APT,Code: CNA,38,66,2508,10/31/05
Los Angeles,555 W 43RD PL,690617,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,24,46,1104,8/10/15
Los Angeles,1608 E 43RD ST,698957,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,45,53,2385,11/2/15
Los Angeles,328 W 45TH ST,669449,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,28,57,1596,12/23/14
Los Angeles,1301 W 46TH ST,313184,9,ROBERT WOOD,II,V,SFD,Code: CNA,30,35,1050,9/9/09
Los Angeles,1492 W 47TH ST,495544,8,TIM FONG,II,V,SFD,Code: CNA,0,0,0,4/4/13
Los Angeles,1221 E 49TH ST,114753,9,ROBERT WOOD,II,V,DUPLEX,Code: CNA,21,23,483,9/8/04
Los Angeles,1221 E 49TH ST,114753,9,ROBERT WOOD,II,V,DUPLEX,Code: CNA,21,23,483,10/21/08
Los Angeles,1485 W 49TH ST,100094,8,ROBERT WOOD,II,V,SFD,Code: CNA,29,47,1363,3/1/04
Los Angeles,3417 S 4TH AVE,668482,10,ROBERT WOOD,II,V,SFD,Code: CNA,32,52,1664,12/8/14
Los Angeles,3417 S 4TH AVE,668499,10,ROBERT WOOD,II,V,SFD,Code: CNA,33,25,825,12/8/14
Los Angeles,4829 S 4TH AVE,218564,8,ROBERT WOOD,II,V,SFD,Code: CNA,33,53,1749,3/17/08
Los Angeles,956 W 50TH ST,428548,9,TIM FONG,II,III,COMMERCIAL,Code: CNA,0,0,0,9/26/11
Los Angeles,1242 E 50TH ST,688731,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,30,60,1800,7/24/15
Los Angeles,841 W 51ST ST,100136,9,JOHN STEPHENS,II,V,SFD,Code: CNA,0,0,0,3/25/97
Los Angeles,841 W 51ST ST,100136,9,JOHN STEPHENS,II,V,SFD,Code: CNA,0,0,0,8/19/05
Los Angeles,1233 W 52ND ST,697806,9,ALEXANDER MOFFAT,II,V,SFD,Code: CNA,0,0,0,10/6/15
Los Angeles,225 W 53RD ST,655389,9,JEFFREY CORPUZ,II,V,DUPLEX,Code: CNA,21,33,693,8/18/14
Los Angeles,1537 E 53RD ST,415751,9,TIM FONG,II,V,SFD,Code: CNA,34,26,884,
Los Angeles,1647 E 53RD ST,680812,9,JEFFREY CORPUZ,II,V,SFD,Code: CNA,20,50,1000,5/19/15
Los Angeles,626 W 54TH ST,247386,9,TIM FONG,II,V,APT,Code: CNA,0,0,0,2/3/09
Los Angeles,1329 W 54TH ST,401131,9,TIM FONG,II,*****,SFD,Code: CNA,0,0,0,11/19/10
Los Angeles,1349 W 54TH ST,678479,9,ALEXANDER MOFFAT,II,*****,,Code: GEN-S,0,0,0,
Los Angeles,1424 W 59TH ST,660023,8,TIM FONG,III,V,SFD,Code: CNA,0,0,0,10/15/14
Los Angeles,444 W 62ND ST,696666,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,10/7/15
Los Angeles,444 W 62ND ST,696729,9,JOHN STEPHENS,III,*****,DUPLEX,Code: CNA,0,0,0,10/7/15
Los Angeles,4034 W 63RD ST,487555,8,TIM FONG,III,V,SFD,Code: CNA,0,0,0,1/10/13
Los Angeles,251 E 69TH ST,692940,9,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,8/24/15
Los Angeles,1454 W 71ST ST,677078,8,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,4/3/15
Los Angeles,3207 W 73RD ST,146405,8,ROBERT WOOD,III,V,APT,Code: CNA,0,0,0,7/11/05
Los Angeles,906 E 75TH ST,698540,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,10/23/15
Los Angeles,123 E 76TH ST,378695,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,5/24/10
Los Angeles,1035 W 77TH ST,391313,8,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,9/16/10
Los Angeles,161 W 78TH ST,452708,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,3/9/12
Los Angeles,1000 E 78TH ST,103443,9,JOHN STEPHENS,III,V,SFD,Code: CNA,76,32,2432,2/19/04
Los Angeles,5601 W 78TH ST,404028,11,ROBERT WOOD,III,V,SFD,Code: CNA,30,60,1800,1/19/11
Los Angeles,5669 W 78TH ST,301746,11,ROBERT WOOD,III,V,SFD,Code: CNA,38,26,988,8/13/09
Los Angeles,146 E 79TH ST,247239,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,39853
Los Angeles,148 E 79TH ST,247240,9,JOHN STEPHENS,III,V,SFD,Code: CNA,24,30,720,39853
Los Angeles,918 E 79TH ST,696539,9,JOHN STEPHENS,III,*****,DUPLEX,Code: CNA,0,0,0,42278
Los Angeles,1506 W 79TH ST,692938,8,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,42240
Los Angeles,1404 W 7TH ST,116280,1,JEFFREY CORPUZ,II,III,HOTEL/MOTEL,Code: CNA,60,130,7800,38254
Los Angeles,907 E 80TH ST,476092,9,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,41138
Los Angeles,732 W 81ST ST,186892,8,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,39078
Los Angeles,755 E 84TH PL,298925,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,40042
Los Angeles,1815 W 84TH PL,677204,8,,III,*****,,Code: GEN-S,0,0,0,
Los Angeles,800 W 85TH ST,688388,8,JOHN STEPHENS,III,V,APT,Code: CNA,0,0,0,42205
Los Angeles,242 W 87TH PL,500939,8,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,41432
Los Angeles,244 E 87TH PL,312378,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,40059
Los Angeles,416 W 8TH ST,101760,14,JEFFREY CORPUZ,II,I,COMMERCIAL,Code: CNA,75,120,9000,35675
Los Angeles,5100 S 8TH AVE,209370,8,TIM FONG,II,*****,SFD,Code: CNA,0,0,0,39337
Los Angeles,138 E 90TH ST,676926,8,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,42099
Los Angeles,543 W 90TH ST,698098,8,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,42301
Los Angeles,319 W 94TH ST,557883,8,JOHN STEPHENS,III,V,SFD,Code: CNA,32,46,1472,41719
Los Angeles,1452 E 98TH ST,679269,15,JOHN STEPHENS,III,*****,COMMERCIAL,Code: CNA,0,0,0,42135
Los Angeles,1451 E 99TH ST,678553,15,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,42129
Los Angeles,800 E 9TH ST,696724,14,JEFFREY CORPUZ,II,IV,COMMERCIAL,Code: CNA,65,95,6175,42285
Los Angeles,5742 S 9TH AVE,669538,8,TIM FONG,II,V,SFD,Code: CNA,0,0,0,41999
Los Angeles,4771 W ADAMS BLVD                              ,59,10,ROBERT WOOD,II,V,RESTAURANT,Code: CNA,45,53,2385,40109
Los Angeles,7906 S AGNEW AVE                                ,462,11,ROBERT WOOD,III,V,SFD,Code: CNA,0,0,0,39654
Los Angeles,5655 W ALADDIN ST                                ,7534,10,ROBERT WOOD,II,V,SFD,Code: CNA,35,42,1470,38938
Los Angeles,11429 W ALBERS ST                               ,304,2,DUANE JOHNSON,I,V,DUPLEX,Code: CNA,0,0,0,41029
Los Angeles,11429 W ALBERS ST                               ,307,2,DUANE JOHNSON,I,V,DUPLEX,Code: CNA,0,0,0,41029
Los Angeles,11315 N ALETHEA DR                             ,46,7,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,41695
Los Angeles,1522 N ALLESANDRO ST                      ,,13,JEFFREY CORPUZ,II,V,DUPLEX,Code: CNA,28,45,1260,41229
Los Angeles,4411 N ALPHA ST,102187,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,30,60,1800,34743
Los Angeles,11202 S ALVARO ST,295791,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,40016
Los Angeles,239 E ANAHEIM ST,534727,15,JOHN STEPHENS,III,V,APT,Code: CNA,0,0,0,41663
Los Angeles,410 E ANAHEIM ST,105023,15,JOHN STEPHENS,III,V,HOTEL/MOTEL,Code: CNA,39,105,4095,37999
Los Angeles,10821 S ANZAC AVE,678476,15,ALEXANDER MOFFAT,III,*****,,Code: GEN-S,0,0,0,
Los Angeles,10980 S ANZAC AVE,373684,15,JOHN STEPHENS,III,V,SFD,Code: CNA,90,19,1710,40276
Los Angeles,8675 W APPIAN WAY,319123,4,DUANE JOHNSON,II,V,SFD,Code: CNA,0,0,0,40079
Los Angeles,8743 N AQUEDUCT AVE,703330,12,RICHARD SIMONS,I,V,SFD,Code: CNA,0,0,0,42334
Los Angeles,7614 N ARCOLA AVE,679588,2,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,42135
Los Angeles,1803 S ARLINGTON AVE,100743,10,TIM FONG,II,III,COMMERCIAL,Code: CNA,60,80,4800,38019
Los Angeles,7904 N AURA AVE,588714,3,RICHARD SIMONS,I,V,SFD,Code: CNA,35,40,1400,41778
Los Angeles,8400 N AURA AVE,404661,12,RICHARD SIMONS,I,V,SFD,Code: CNA,30,45,1350,40575
Los Angeles,1365 N AVALON BLVD,239691,15,JOHN STEPHENS,III,III,COMMERCIAL,Code: CNA,40,60,2400,39764
Los Angeles,4818 S AVALON BLVD,101120,9,TIM FONG,II,V,COMMERCIAL,Code: CNA,48,56,2688,37558
Los Angeles,8114 S AVALON BLVD,692942,9,JOHN STEPHENS,III,*****,COMMERCIAL,Code: CNA,0,0,0,42237
Los Angeles,632 N AVENUE 56,658698,1,JEFFREY CORPUZ,I,V,SFD,Code: CNA,28,50,1400,41905
Los Angeles,1310 N AVENUE 56,183437,14,JEFFREY CORPUZ,I,V,DUPLEX,Code: CNA,0,0,0,39027
Los Angeles,729 N AVENUE 63,209155,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,0,0,0,39332
Los Angeles,133 S AVENUE 64,676333,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,28,30,840,42090
Los Angeles,405 N AVENUE 66,252671,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,0,0,0,39875
Los Angeles,405 N AVENUE 66,252671,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,0,0,0,40721
Los Angeles,9658 N BADEN AVE,215770,12,RICHARD SIMONS,I,V,SFD,Code: CNA,25,50,1250,39470
Los Angeles,4865 N BAKMAN AVE,494406,2,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,41353
Los Angeles,22401 W BALTAR ST,465803,12,RICHARD SIMONS,I,V,SFD,Code: CNA,60,65,3900,41053
Los Angeles,9544 S BANDERA ST,241732,15,JOHN STEPHENS,III,V,DUPLEX,Code: CNA,0,0,0,39776
Los Angeles,9544 S BANDERA ST,389362,15,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,40422
Los Angeles,3623 S BARBARA ST,671712,15,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,42037
Los Angeles,5957 W BARTON AVE,501615,13,TIM FONG,II,V,APT,Code: CNA,0,0,0,41438
Los Angeles,19542 W BASSETT ST,702017,3,RICHARD SIMONS,I,V,SFD,Code: CNA,40,40,1600,42321
Los Angeles,912 N BAY VIEW AVE,679404,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,42138
Los Angeles,1627 S BEACON ST,657310,15,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,41873
Los Angeles,6914 N BECK AVE,292064,2,DUANE JOHNSON,I,V,COMMERCIAL,Code: CNA,0,0,0,39974
Los Angeles,1611 S BEDFORD ST,335122,5,ROBERT WOOD,II,V,DUPLEX,Code: CNA,0,0,0,40116
Los Angeles,429 W BEECH ST,404304,1,JEFFREY CORPUZ,I,V,SFD,Code: CNA,27,51,1377,40571
Los Angeles,1200 N BEL-AIR ROAD,657358,5,ROBERT WOOD,II,V,SFD,Code: CNA,50,140,7000,41879
Los Angeles,25527 S BELLE PORTE AVE,565958,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,41733
Los Angeles,1222 W BELLEVUE AVE,102240,1,JEFFREY CORPUZ,II,V,DUPLEX,Code: CNA,36,60,2160,37908
Los Angeles,1222 W BELLEVUE AVE,102240,1,JEFFREY CORPUZ,II,V,DUPLEX,Code: CNA,36,60,2160,38590
Los Angeles,1222 W BELLEVUE AVE,102240,1,JEFFREY CORPUZ,II,V,DUPLEX,Code: CNA,36,60,2160,38985
Los Angeles,1222 W BELLEVUE AVE,102240,1,JEFFREY CORPUZ,II,V,DUPLEX,Code: CNA,36,60,2160,39330
Los Angeles,6603 N BELLINGHAM AVE,674972,2,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,42072
Los Angeles,1707 N BENEDICT CANYON DR,389464,5,ROBERT WOOD,II,V,SFD,Code: CNA,40,45,1800,40421
Los Angeles,152 N BENTON WAY,384603,13,JEFFREY CORPUZ,II,V,SFD,Code: CNA,0,0,0,40359
Los Angeles,3728 N BERRY DR,202783,2,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,39237
Los Angeles,13339 W BONANZA ST,678847,7,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,42124
Los Angeles,666 S BONNIE BRAE ST,211068,1,JEFFREY CORPUZ,II,V,APT,Code: CNA,0,0,0,39525
Los Angeles,668 S BONNIE BRAE ST,174407,1,JEFFREY CORPUZ,II,V,COMMERCIAL,Code: CNA,0,0,0,39359
Los Angeles,12739 N BRADLEY AVE,510722,7,DUANE JOHNSON,I,V,,Code: CNA,0,0,0,41520
Los Angeles,12741 N BRADLEY AVE,512810,7,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,41536
Los Angeles,247 N BREED ST,101981,14,JEFFREY CORPUZ,I,III,CHURCH,Code: CNA,71,91,6461,35275
Los Angeles,4922 N BREWSTER DR,215196,3,RICHARD SIMONS,I,V,SFD,Code: CNA,0,0,0,39457
Los Angeles,2702 S BRIGHTON AVE,676866,8,TIM FONG,II,V,APT,Code: CNA,0,0,0,42095
Los Angeles,3980 S BRIGHTON AVE,209087,8,TIM FONG,II,*****,SFD,Code: CNA,0,0,0,39331
Los Angeles,4030 S BROADWAY,701993,9,JEFFREY CORPUZ,II,V,COMMERCIAL,Code: CNA,12,20,240,42326
Los Angeles,7403 S BROADWAY,294223,9,MARIAN PODPORA,III,III,COMMERCIAL,Code: GEN-S,50,65,3250,40029
Los Angeles,7720 S BROADWAY,206206,9,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,39288
Los Angeles,13677 N BRUSSELS AVE,657399,7,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,41879
Los Angeles,3031 S BUCKINGHAM ROAD,215568,10,TIM FONG,II,V,SFD,Code: CNA,35,65,2275,39465
Los Angeles,4410 S BUDLONG AVE,685277,9,TIM FONG,II,III,CHURCH,Code: CNA,0,0,0,42158
Los Angeles,14550 W BURBANK BLVD,702016,4,RICHARD SIMONS,I,V,SFD,Code: CNA,35,45,1575,42321
Los Angeles,23203 W BURBANK BLVD,679606,3,RICHARD SIMONS,I,V,SFD,Code: CNA,30,100,3000,42136
Los Angeles,1657 N BURNELL DR,294108,1,JEFFREY CORPUZ,III,V,SFD,Code: CNA,0,0,0,39995
Los Angeles,1832 N BURNELL DR,213607,1,JEFFREY CORPUZ,III,V,SFD,Code: CNA,0,0,0,39415
Los Angeles,4748 N BURNET AVE,213287,4,RICHARD SIMONS,I,V,SFD,Code: CNA,30,55,1650,39406
Los Angeles,4556 N CAHUENGA BLVD,695812,4,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,42270
Los Angeles,1064 S CALZONA ST,505086,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,22,42,924,41477
Los Angeles,1066 S CALZONA ST,505087,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,22,46,1012,41477
Los Angeles,938 S CAMULOS ST,494869,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,28,90,2520,41362
Los Angeles,9501 N CANEDO AVE,450312,12,RICHARD SIMONS,I,V,SFD,Code: CNA,30,55,1650,40969
Los Angeles,23058 W CANZONET ST,435813,3,RICHARD SIMONS,I,V,SFD,Code: CNA,25,50,1250,40893
Los Angeles,6060 W CARLTON WAY,218017,13,DUANE JOHNSON,II,*****,COMMERCIAL,Code: CNA,0,0,0,39514
Los Angeles,3823 N CARPENTER AVE,381267,2,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,40331
Los Angeles,5131 N CARTWRIGHT AVE,628852,2,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,41829
Los Angeles,5716 N CASE AVE,612567,2,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,41810
Los Angeles,8749 W CATTARAUGUS AVE,180438,10,ROBERT WOOD,II,V,SFD,Code: CNA,20,30,600,38987
Los Angeles,2287 N CAZADOR DR,693973,1,JEFFREY CORPUZ,III,V,SFD,Code: CNA,40,55,2200,42254
Los Angeles,10215 S CENTRAL AVE,680897,8,JOHN STEPHENS,III,V,COMMERCIAL,Code: CNA,50,75,3750,42140
Los Angeles,11287 W CHALON ROAD,425817,5,ROBERT WOOD,II,V,SFD,Code: CNA,50,80,4000,40770
Los Angeles,11058 W CHANDLER BLVD,238208,2,DUANE JOHNSON,I,V,COMMERCIAL,Code: CNA,35,85,2975,39756
Los Angeles,7867 N CHERRYSTONE AVE,615377,6,RICHARD SIMONS,I,V,SFD,Code: CNA,25,45,1125,41816
Los Angeles,6203 S CIMARRON ST,454383,8,JOHN STEPHENS,III,*****,DUPLEX,Code: CNA,0,0,0,40990
Los Angeles,19641 W CITRONIA ST,588805,12,RICHARD SIMONS,I,V,SFD,Code: CNA,45,45,2025,41778
Los Angeles,9301 S CLOVIS AVE,660253,9,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,41929
Los Angeles,1444 S COCHRAN AVE,169908,10,TIM FONG,II,V,SFD,Code: CNA,35,40,1400,38798
Los Angeles,14148 W COHASSET ST,628242,2,RICHARD SIMONS,I,V,SFD,Code: CNA,35,50,1750,41828
Los Angeles,5012 W COLISEUM ST,187786,10,TIM FONG,II,V,APT,Code: CNA,0,0,0,39098
Los Angeles,5012 W COLISEUM ST,187786,10,TIM FONG,II,V,APT,Code: CNA,0,0,0,39297
Los Angeles,5012 W COLISEUM ST,187786,10,TIM FONG,II,V,APT,Code: CNA,0,0,0,39924
Los Angeles,23126 W COLLINS ST,470856,3,RICHARD SIMONS,I,V,SFD,Code: CNA,55,70,3850,41088
Los Angeles,1332 W COLORADO BLVD,388386,14,JEFFREY CORPUZ,I,II-FR,COMMERCIAL,Code: CNA,0,0,0,40403
Los Angeles,749 S COLUMBIA AVE,374684,1,JEFFREY CORPUZ,II,V,SFD,Code: CNA,0,0,0,40282
Los Angeles,8409 W CORA ST,691374,7,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,42226
Los Angeles,1109 N CORONADO TER,680833,13,JEFFREY CORPUZ,II,V,SFD,Code: CNA,40,55,2200,42143
Los Angeles,3107 W COUNCIL ST,424463,13,JEFFREY CORPUZ,II,V,SFD,Code: CNA,26,32,832,40760
Los Angeles,1246 W COURT ST,514277,1,JEFFREY CORPUZ,II,V,SFD,Code: CNA,24,30,720,41547
Los Angeles,4649 S CRENSHAW BLVD,483291,8,TIM FONG,II,III,COMMERCIAL,Code: CNA,0,0,0,41226
Los Angeles,13455 W CREWE ST,701836,2,RICHARD SIMONS,I,*****,SFD,Code: CNA,0,0,0,42319
Los Angeles,4015 S DALTON AVE,545875,8,TIM FONG,II,*****,SFD,Code: CNA,0,0,0,41691
Los Angeles,6011 W DAUPHIN AVE,100690,10,ROBERT WOOD,II,V,SFD,Code: CNA,30,40,1200,37859
Los Angeles,21147 S DENKER AVE,384655,15,JOHN STEPHENS,III,V,SFD,Code: CNA,40,32,1280,40359
Los Angeles,5915 S DENVER AVE,509825,9,JOHN STEPHENS,III,*****,,Code: CNA,0,0,0,41509
Los Angeles,16458 W DEVONSHIRE ST,693684,12,RICHARD SIMONS,I,V,SFD,Code: CNA,30,45,1350,42248
Los Angeles,17414 W DEVONSHIRE ST,595991,12,RICHARD SIMONS,I,*****,SFD,Code: CNA,0,0,0,41795
Los Angeles,651 N DILLON ST,673826,13,JEFFREY CORPUZ,II,V,SFD,Code: CNA,20,47,940,42058
Los Angeles,653 N DILLON ST,673827,13,JEFFREY CORPUZ,II,V,SFD,Code: CNA,32,35,1120,42058
Los Angeles,920 S DODSON AVE,551505,15,JOHN STEPHENS,III,V,SFD,Code: CNA,0,0,0,41702
Los Angeles,4535 E DUDLEY DR,696711,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,20,26,520,42289
Los Angeles,815 W E ST,499732,15,JOHN STEPHENS,III,*****,SFD,Code: CNA,0,0,0,41417
Los Angeles,1406 W EAGLE VISTA DR,679284,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,0,0,0,42132
Los Angeles,2806 N EASTERN AVE,680356,14,JEFFREY CORPUZ,I,V,SFD,Code: CNA,20,35,700,42142
Los Angeles,2149 N ECHO PARK AVE,685806,13,JEFFREY CORPUZ,II,V,SFD,Code: CNA,35,65,2275,42174
Los Angeles,3028 S EDGEHILL DR,230900,10,ROBERT WOOD,II,V,APT,Code: CNA,33,56,1848,39646
Los Angeles,1639 N EDGEMONT ST,374695,13,DUANE JOHNSON,II,V,APT,Code: CNA,0,0,0,40282
Los Angeles,9031 N EL DORADO AVE,693992,6,DUANE JOHNSON,I,V,SFD,Code: CNA,0,0,0,42249
Los Angeles,950 N EL PASO DR,687907,1,JEFFREY CORPUZ,I,V,SFD,Code: CNA,26,36,936,42202
Los Angeles,705 W EL SEGUNDO BLVD,111072,15,JOHN STEPHENS,III,V,COMMERCIAL,Code: CNA,28,60,1680,38190
Los Angeles,4030 N ELLENITA AVE,697399,3,RICHARD SIMONS,I,V,SFD,Code: CNA,0,0,0,42285
