Lot #,Council District,Address,Community,Zip Code,Operator,Rate,Monthly Rate,Hours of Operation,Hours of Operation,Total Spaces,Structure Type,Size,Type,Lat/Long
668,14,5058 Meridian St,Eagle Rock,90042_1723,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily _,44,Surface Lot,15600,Automated Facilities With Pay Stations,
669,1,5033 Lincoln Ave,Eagle Rock,90042_2343,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,--,7 AM-Midnight Daily_,39,Surface Lot,15600,Automated Facilities With Pay Stations,
675,4,4642 Russell Ave,Los Feliz,90027_4240,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,--,7 AM-Midnight Daily,32,Surface Lot,13500,Automated Facilities With Pay Stations,
681,11,15216 Sunset Blvd,Pacific Palisades,90272_3611,Pay Station,$1.00 / Hr,$2.00 / 2 Hrs,--,7 AM-9 PM Daily,25,Surface Lot,9000,Automated Facilities With Pay Stations,
682,14,318 N Breed St,Boyle Heights,90033_1802,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,27,Surface Lot,12500,Automated Facilities With Pay Stations,
684,15,460 W 7th St,San Pedro,90731,Pay Station,$0.25 / 30 Min,2.5,30,8 AM-6 PM X/Sun _,86,Surface Lot,31200,Automated Facilities With Pay Stations,
685,5,2386 Malcolm Ave,Rancho Park,90064_2206,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,--,7 AM-9 PM Daily,19,Surface Lot,6450,Automated Facilities With Pay Stations,
688,5,1156 Clark Dr,Crestview,90035_1400,Pay Station,$0.25 / 20 Min,3,--,7 AM-9 PM Daily,27,Structure,12750,Automated Facilities With Pay Stations,
689,5,8866 Pico Blvd,Crestview,90035_3302,Pay Station,$0.25 / 20 Min,3,--,7 AM-9 PM Daily,39,Surface Lot,14400,Automated Facilities With Pay Stations,
694,4,209 N Larchmont Blvd,Hancock Park,90004_3706,Pay Station,$1.00 / Hr,$2.00 / 2 Hrs,--,7 AM-Midnight Daily,34,Surface Lot,12500,Automated Facilities With Pay Stations,
698,5,2367 Prosser Ave,Century City,90064_2323,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,25,Surface Lot,12050,Automated Facilities With Pay Stations,
705,3,21901 W Costanso St,Woodland Hills,91364,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,28,Surface Lot,15450,Automated Facilities With Pay Stations,
707,5,2377 Midvale Ave,Rancho Park,90064_2103,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,--,7 AM-9 PM Daily,41,Surface Lot,16920,Automated Facilities With Pay Stations,
713,14,249 N Chicago St,Boyle Heights,90033_2906,Pay Station,$0.25 / 30 Min,2.5,30,7 AM-9 PM Daily,69,Surface Lot,27150,Automated Facilities With Pay Stations,
715,5,2371 Overland Ave,Century City,90064_2209,Pay Station,$0.25 / 20 Min,3,--,7 AM-9 PM Daily,27,Surface Lot,10900,Automated Facilities With Pay Stations,
735,15,396 W 6th St,San Pedro,90731_2622,Pay Station,$0.25 / 30 Min,$2.00 / 4 Hrs,--,8 AM-6 PM X/Sun _,50,Surface Lot,10700,Automated Facilities With Pay Stations,
744,8,8463 S Vermont Ave,Vermont Knolls,90044_3448,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily,23,Surface Lot,8800,Automated Facilities With Pay Stations,
748,5,11010 Santa Monica Bl,West LA,90025,Pay Station,$1.00 / Hr,$4.00 / 10 Hrs,50,7 AM-9 PM Daily,24,Surface Lot,10500,Automated Facilities With Pay Stations,
761,11,1608 S Pacific Ave,Venice,90291_5112,Pay Station,$1.00 / Hr _,$1.00 / 1 Hr _,--,8 AM-6 PM Daily,14,Surface Lot,6300,Automated Facilities With Pay Stations,
762,4,15314 W Dickens St,Sherman Oaks,91403,Pay Station,$1.00 / Hr,$2.00 / 2 Hrs,--,7 AM-9 PM Daily,42,Surface Lot,12500,Automated Facilities With Pay Stations,
764,10,4318 Degnan Blvd,Leimert Park,90008_4570,Pay Station,$0.25 / 30 Min,2.5,--,7 AM-9 PM Daily _,93,Surface Lot,30700,Automated Facilities With Pay Stations,
799,4,14758 Ventura Blvd,Sherman Oaks,91403_3542,Pay Station,$0.25 / 30 Min,$1.00 / 2 Hrs,--,7 AM-9 PM Daily,20,Surface Lot,9600,Automated Facilities With Pay Stations,
