#,"Housing Asset Type (CRA, HCIDLA Acquired, REO)",Property Address,City,Zip Code,"Council District", Parcel Size (sq. ft.),Property Description,# of Units,Disposition Recommendation,,type
16,REO,11681 W. Foothill Blvd.,Sylmar,91342,7," 126,902 ",Vacant Lot,n/a,Execute MOU with EWDD,,Execute MOU with EWDD
17,CRA,601 W. 40th Place,Los Angeles,90037,9," 7,838 ",Vacant Lot,n/a,Execute MOU with EWDD,,Execute MOU with EWDD
18,CRA,"619, 623, 627, 629  S. Westlake Ave",Los Angeles,90057,1," 32,198 ","Vacant Bldgs, Lots",n/a,Execute MOU with EWDD,,Execute MOU with EWDD
19,CRA,1808 S. St. Andrews Place,Los Angeles,90019,10," 8,913 ",Vacant SF Home,1,Sell at Fair Market Value; Restore sales proceeds to Low Moderate Income Housing Fund,,Sell Vacant Properties at Fair Market Value
20,CRA,1816 N. Wilton Place,Los Angeles,90068,13," 7,349 ",Vacant SF Home,1,Sell at Fair Market Value; Restore sales proceeds to Low Moderate Income Housing Fund,,Sell Vacant Properties at Fair Market Value
21,REO,6309-6223 S. 10th Avenue,Los Angeles,90043,8," 26,146 ",Occupied Multi-family Apartments ,29,Sell to Mission Driven Organization via RFP,,Occupied Properties to Mission Driven Organization
22,REO,6577 S. Arlington Avenue,Los Angeles,90043,8," 4,802 ",Occupied SF Home,1,Sell to Mission Driven Organization via RFP,,Occupied Properties to Mission Driven Organization
23,REO,6503 S. Victoria Avenue,Los Angeles,90043,8," 11,355 ",Occupied Multi-family Apartments,10,Sell to Mission Driven Organization via RFP,,Occupied Properties to Mission Driven Organization
24,REO,2117-2133 W. 54th Street,Los Angeles,90062,8," 20,106 ",Occupied Multi-family Apartments,22,Sell to Mission Driven Organization via RFP,,Occupied Properties to Mission Driven Organization
25,REO,1211 E. 43rd Street,Los Angeles,90011,9," 6,035 ",Occupied Multi-family Apartments,5,Sell to Mission Driven Organization via RFP,,Occupied Properties to Mission Driven Organization
26,REO,3507-3513 Stocker Street,Los Angeles,90008,10," 10,628 ",Occupied Multi-family Apartments,12,Sell to Mission Driven Organization via RFP,,Occupied Properties to Mission Driven Organization
27,REO,819 W. 4th Street,San Pedro,90731,15," 5,906 ",Occupied Multi-family Apartments,10,Sell to Mission Driven Organization via RFP,,Occupied Properties to Mission Driven Organization
