Street #,Street Name,City & ZIP,Building Name,CD,Date of Request,Work Requested,Requested by:,To: CFD,CFD Estimate,Cost,COMPLETED,Date Re-visited,Comments / Notes,"1 = complete 2 = pending 3 = completed;no final cost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15333,De Pauw,Pacific Palisades,SFR,11,3/11/15,"graffiti, board-up","Robert Wood, LADBS",3/11/15,,$0.00,05/11/15,,"Cfd cost rpt 04/30/15; 6/30/15 5/11/15 - work completed.  DP sent pictures. Cost not yet final. Cost of $1,344.00 clean-up to be paid thru auction sale proceeds",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18777,Eldeen Drive,Tarzana,vacant lot,3,4/28/15,"fence repair, weed abatement","Arielle Bernard, CD 3",4/28/15,,"$3,058.46",05/12/15,,"5/12/15 - DP called stating LAFD contract was on site. Told DP to let LAFD finish work. 5/18/15 -return call from LAFD Insp. Sanz-Agero completed by LAFD Fire Brush Clearance Unit (818) 778-4924. LAFD will not send bill to GSD.He said they have been maintaining the lot for over 10 years. 6/1/15 - DP emailed pictures. CFD cost rpt 5/31/15; 6/30/15",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3671,Vermont Ave - South,LA,Bethune Library,,3/6/15,CRA property transfer of fence rental to GSD,"Josh Rohmer, CAOJaneth Estrada, CRA",n/a,,$141.00,05/19/15,,"3/6/15 United Site Services (800-864-5387, Rosemary is ext. 6287) is expecting the call from the City to transfer the service.  United has some difficulty identifying the property using the correct address (3671 or 3685 S. Vermont Ave.) CRA/LA's Customer ID: USS-179096, and the most recent work order in 0-597310.  If possible, please try to contact them early next week - otherwise CRA/LA plans to have them remove the fence, at which point we'd need to have it re-installed, which would be a waste.   3/9/15 - called fencing company and transferred billing to GSD-RES. Account No LAX-38899 - Order No. LO-597310 5/19/15 - March invoice received in the amount of $141.00 forwarded by CRA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights Jail,1,4/27/15,24/7 security services,Val/Melody,4/27/15,,,05/31/15,,"G4Secure Solutions security from 4/27/15-5/31/15 $18,245.32 PAID THRU RES 3040 ACCT",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,103rd St,LA 90002,FS 65,15,4/13/15,remove/clean-up bird nestings and bee hives,LAFD - Emily Gutierrez,4/13/15,"7,353.00",$550.50,06/01/15,,"4/29/15 - est rec'd 5/13/15 - per DP, vendor Cats will be on site 5/26 & 27/15  to address the requested mitigations. ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA 90031,Old Lincoln Heights Jail,1,2/2/15,ITA to install alarm and videos with LAPD monitoring,GSD GM,2/2/15,"42,777.44",$0.00,06/05/15,,"$42,035.44 from ITA and $742 for GSD to move electrical outlet
2/20/15 - Per Donna of CAO, will use Fund 100, Department 54, Account 00L046 entitled Citywide Maintenance and Improvements for CSR 40-01639 Ref# MIS-15-075 - Lincoln Heights Jail Security System.
Paid thru 3rd CPR",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Browns Canyon Silo APN 2821-002-900 
12080 BROWNS CANYON RD",Chatsworth 91311,vacant lot,12,2/3/15,"fence repair, cap silos",LACounty Public Works Eng Insp John McCarney,2/3/15,"94,155.00",$0.00,06/09/15,,"2/5/15 - estimate received 5/8/15 - 4th CPR request submitted to CAO.   5/18/15 - per Raoul, request submitted for inclusion in 4th CPR. 6/9/15 - CCouncil approved 4th CPR; CF 14-1284-S3 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights Jail,,6/8/15,DWP lights installation,LAPD,,"5,000.00",,06/22/15,,"6/11/15 - email from Thom Breckner  5 light posts will be installed 6/20/15 $5,000 PAID THRU RES ACCT",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights Jail,1,6/5/15,replace dual tech motion detector for outside and install new flood detector for basement.,ITA Jerry Morris,,229.65,,06/24/15,,"break-ins/vandalism 6/9/15 - Lisa H sent PO to Acctg created PO. Estimate from FFS Technology $229.65 PAID THRU RES ACCT",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights Jail,1,4/20/15,"board-up,secure door, trash,",SLO Manuel Elorriaga,4/20/15,,"$46,489.69",06/30/15,4/20-4/29/15,"4/21/15 - rec'd call from Peter.  Facility got broken into again less than 24 hours after securing site. Multiple break-ins occurring every week. CFD rpt 6/30/15 total of $114,519.58",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights jail,,6/29/15,ITA to replace (5) motion detectors and (2) shock sensors as a result of 6/25-6/29/ breakin. ,ITA Jerry Morris,6/29/15,793.23,,07/03/15,,"6/29/15 - ITA to replace (5) motion detectors and (2) shock sensors as a result of 6/25-6/29/ break-in. Estimate received and PO to be created by Lisa. $793.23 PAID THRU RES ACCT",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4th & Santa Fe,LA 90058,under the bridge,14,6/17/15,No Loitering sign installation,"City Atty Kurt Knecht Sergio Carvajal, CD14",7/8/15,,$0.00,07/08/15,,"7/7/15 - Per Joe Ramirez, location is under the jurisdiction of Street Services",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86th St & Broadway,LA ,vacant lot,8,6/30/15,"clean-up trash, weed, RUSH job",Valerie Melloff/David Roberts,6/30/15,,"$5,855.83",07/08/15,,"Rush job due toLA Times inquiry.  Later found out that property is under the control of DOT.7/8/15 - PI completing work. 7/13/15 - Dave Perka emailed pictures of completed work.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tupper & columbus Avenue,North Hills,vacant lot,7,6/22/15,"weed, trash, install fence","Cristina Coria & Yolanda Fuentes, CD 7",6/22/15,"12,347.00","$3,691.09",07/09/15,,"6/24/15 - estimate received from DP $2,549.90 estimate for fence only from Quality Fence Co. 6/30/15 - partial cost from CFD rpt 7/31/15 - CFD rpt",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave 26 & Lacy,LA,vacant lot,1,6/2/15,"weed, fence, signs.",Jose Rodriguez of CD 1,6/2/15,"15,115.00","$20,041.25",07/13/15,,"multi-city agency clean-up to be conducted on 6/25-26/15 APN: 5205003900, 5205003901, 5205002901 (rear of Animal Services), and 5205003900 (rear of open space) 6/30/15 CFD cost rpt 7/31/15 - CFD rpt",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Manchester,,FS 57,8,5/26/15,"weed, trash, board-up, fence repair, homeless, debris, window breach, sign, graffitti","Berny Moto, CD 8",5/26/15,,"$14,049.78",07/14/15,,"5/11/15 - Dave Perka emails that fence is broken again.   5/26/15 - Berny followed-up. CFD cost rpt 6/30/15 7/7/15 -per PI fence to be completed on 7/13/15",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Manchester,LA 90044,FS 57,8,6/17/15,"Graffiti, weed, trash, board-up,sign,fencing, homeless","Bethel Wilson, City Atty Neighborhood Prosecutor",6/17/15,,"$19,333.19",07/14/15,4/16/15,"COMPLETED CFD cost rpt 11/4/14; 12/31/14 4/16/15 - Dave Perka advised that placed is trashed again. He gets calls from the car dealership next door about activities taking place in the building.  Homeless cuts fences and the place cannot remain secure for  a long time.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Paseo Miramar,Pacific Palisades 90272,vacant lot,11,1/7/15,trash chair removal,RES-JOC,1/7/15,,$859.30,"2/3/2015 ",,CFD rpt 1/31/15;04/30/15; 6/30/15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Ave 19,LA,Old Lincoln Heights Jail,1,6/4/15,Secure View Proposal - install window covering & maintenance,"Val, Melody",,"275,100.00",,,,Secure View to submit proposal by June 15. Estimate received.  Pending item.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11253,11259, 11265, 11273",Laurie Drive,LA 91604,vacant lot,2,9/4/14,Fence and repair work,,,"18,602.00",$69.48,,,"need quote.  Not on Peter's list 1/12/15 - per PI est sent to RES. JM responded to put on hold; not priority.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,Manchester,LA 90045,FS 5,11,2/17/15,"trash cleanup, weeds","Nancy Aguilar, CD 11 &  srogers@kentwoodhomeguardians.com",2/17/15,"2,560.00",$985.59,,,"2/25/15 - estimate received and sent to CD 11 04/30/15 CFD rpt (partial cost?)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
