row,Non Profit,Address,CD #,Lease Start,Lease Exp.,Lease Term,Dept,Status,Condition per Construction Div Project Scope,Street Number,Street Name,Zip Code,Notes,,,,,,,,,,,,,,,,,
101,Chatsworth Chamber of Commerce&Trans. Mus,"10040 Old Depot Plaza Rd., Chatsworth, 91311",12,,5/1/2003,Renewal In Process,GSD,,Tenant Improvements for CD12,10040,Depot Plaza,91311,,,,,,,,,,,,,,,,,,
47,McGroarty Arts Center,"7570 McGroarty Terrace.,Tujunga 91042",2,,12/31/2003,,Cultural Affairs,,"Tenant Improvements Code Corrections, ADA Compliance",7570,McGroarty,91042,,,,,,,,,,,,,,,,,,
48,William Reagh L.A. Photography Center,"2332 West 4th St., L.A. 90057",1,,12/31/2003,,Cutural Affairs,,"Tenant Improvements, ADA Compliance, Seismic Retrofit",2332,4,90057,,,,,,,,,,,,,,,,,,
49,Lankershim Arts Center,"5108 Lankershim Blvd., N. Hollywood 91602",4,,12/31/2003,,Cultural Affairs,,No recent inspection,5108,Lankershim,91602,,,,,,,,,,,,,,,,,,
44,Art in the Park,"5568 Via Marisol, L.A. 90042",14,,6/30/2004,,Cultural Affairs,,"Tenant Improvements, ADA Compliance",5568,Marisol,90042,,,,,,,,,,,,,,,,,,
45,Encino Media Center,"16593 Ventura Blvd., Encino 91316",5,,6/30/2004,,Cultural Affairs,,"Tenant Improvements, ADA Compliance, Seismic Retrofit",16593,Ventura,91316,,,,,,,,,,,,,,,,,,
46,Eagle Rock Community Cultural Center,"2225 Colorado Blvd., L.A. 90041",14,,6/30/2004,,Cultural Affairs,,Replace Flooring,2225,Colorado,90041,,,,,,,,,,,,,,,,,,
51,Las Aztecas,"3514 N. Broadway, L.A. 90031",1,,6/30/2005,,Cultural Affairs,,No recent inspection,3514,Broadway,90031,,,,,,,,,,,,,,,,,,
90,Arnold's All Stars,"6501 Fountain Ave., L.A 90038",4,,6/30/2005,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",6501,Fountain,90038,,,,,,,,,,,,,,,,,,
83,Wilmington Historical Society,"309 W. Opp St., Wilmington, 90744",15,,9/19/2005,,GSD,,No recent inspection,309,Opp,90744,,,,,,,,,,,,,,,,,,
56,L.A. Center for Education Research,"1718 N. Cherokee Ave. Space A, L.A. 90028",13,7/15/1995,10/31/2005,,GSD?,,Tenant Improvements,1718,Cherokee,90028,,,,,,,,,,,,,,,,,,
82,Harbor Area Gang Alternative Program,"309 W. Opp St., Wilmington, 90744",15,,11/20/2005,,HCID,,No recent inspection,309,Opp,90744,,,,,,,,,,,,,,,,,,
58,Greater Little Tokyo Anti-Crime Assoc.,"307 E. 1st St., L.A. 90012",9,3/20/1996,3/19/2006,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",307,1,90012,,,,,,,,,,,,,,,,,,
29,Mount Washington Preschool & Child Care Cen.,"4601 N. Figueroa St., L.A. 90042",14,12/13/2001,12/12/2006,,HCID,,No recent inspection,4601,Figueroa,90042,,,,,,,,,,,,,,,,,,
75,Odyssey Theatre Ensemble,"2055 Sepulveda Blvd., L.A.",5,,8/31/2008,,GSD,,No recent inspection,2055,Sepulveda,90025,,,,,,,,,,,,,,,,,,
18,Harbor Comm. Dev./544 Hilltop Nursery,"3625 Marathon St., L.A. 90026",13,,5/1/2009,,Rec&Parks,,No recent inspection,3625,Marathon,90026,,,,,,,,,,,,,,,,,,
100,Boys and Girls Club of the South Bay,"802 W. Gardena Blvd., L.A. 90247",15,7/1/2004,6/30/2009,,GSD,,No recent inspection,802,Gardena,90247,,,,,,,,,,,,,,,,,,
52,Hollywood Police Support Association,"6614-6618 Fountain Ave., L.A. 90038",4,8/3/1999,8/4/2009,,GSD,ground lease,community garden,6614,Fountain,90038,,,,,,,,,,,,,,,,,,
72,Foundation for Early Childhood Educ.,"5636 Fountain Ave., L.A. 90038",13,8/5/1999,8/4/2009,,HCID,ground lease,non-City trailers,5636,Fountain,90038,,,,,,,,,,,,,,,,,,
103,"Ebony Repertory Theater, Inc.",4718 W. Washington Blvd.,10,2/1/2008,1/31/2010,,GSD,,,4718,Washington,90016,,,,,,,,,,,,,,,,,,
54,Central City Action Committee,"534 E. Edgeware Rd., L.A. 90026",1,7/18/2000,7/17/2010,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",534,Edgeware,90026,,,,,,,,,,,,,,,,,,
102,L.A. Co. Metropolitan Trans. Authority,"2100 1st. St., Sylmar",7,6/18/1996,6/17/2011,ground lease,GSD,,No recent inspection,2100,1,91342,,,,,,,,,,,,,,,,,,
73,Foundation for Early Childhood Educ.,"5637 LaMirada Ave., L.A.90038",13,2/20/2002,6/30/2011,,HCID,ground lease,non-City trailers,5637,Mirada,90038,,,,,,,,,,,,,,,,,,
108,College Track,2130 East 1st Street,14,6/3/2013,5/31/2013,10 yrs,GSD,,Good Condition,2130,First,90033,,,,,,,,,,,,,,,,,,
33,"Plaza de la Raza, Inc.","3540 N. Mission Rd., L.A. 90031",1,,12/31/2015,,HCID,,Tenant Improvements,3540,Mission,90031,,,,,,,,,,,,,,,,,,
55,El Centro Del Pueblo,"1146-1152 Glendale Blvd., L.A. 90026",13,4/12/2002,4/11/2017,,HCID,ground lease,No recent inspection,1146,Glendale,90026,,,,,,,,,,,,,,,,,,
107,Dignity Health / Northridge Hospital,"14651 Oxnard Street, LA 91411",7,7/1/2013,6/30/ 2018,5 yrs,GSD,,Tenant improves and maintains,14651,Oxnard,91411,,,,,,,,,,,,,,,,,,
67,Los Angeles Conservation Corps,"2824 S. Main St., L.A.",9,10/13/2000,10/30/2020,,GSD,,No recent inspection,2824,Main,90011,,,,,,,,,,,,,,,,,,
43,"Los Angeles Conservation Corps, Inc.","2824 S. Main St., L.A. 90011",9,10/13/2000,11/30/2020,,GSD,,No recent inspection,2824,Main,90011,,,,,,,,,,,,,,,,,,
94,Venice Community Housing,"650 Westminster Ave., Venice 90291",11,,1/31/2022,,HCID?,,No recent inspection,650,Westminster,90291,,,,,,,,,,,,,,,,,,
78,Skid Row Development Center,"434 S. San Pedro St., L.A. 90013",9,7/1/1982,6/30/2022,,GSD,,No recent inspection,434,San Pedro,90013,,,,,,,,,,,,,,,,,,
19,"Hollenbeck Police Business Council, Inc.","2015 E. 1st St., L.A. 90033",14,12/18/1974,12/17/2024,,GSD,,No recent inspection,2015,1,90033,,,,,,,,,,,,,,,,,,
105,Latino Theater Company & Latino Museum,"514 S. Los Angeles St., Los Angeles 90012",9,1/4/2006,1/3/2026,,GSD,,,514,Los Angeles,90012,,,,,,,,,,,,,,,,,,
21,"Kedren Community Health Center, Inc.","710 E. 111th Place., L.A. 90059",15,,10/9/2027,,HCID,,No recent inspection,710,111,90059,,,,,,,,,,,,,,,,,,
23,"LAMP, Inc.","526 S.San Pedro St/527 S.Crocker St., L.A. 90012",9,,12/31/2029,,HCID,,"Tenant Improvements, ADA Compliance",526,San Pedro,90012,,,,,,,,,,,,,,,,,,
70,L. A Police Historical Museum,"6045 York Blvd., L.A. 90042",14,12/20/2000,12/19/2030,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",6045,York,90042,,,,,,,,,,,,,,,,,,
59,Beyond Baroque Foundation,"681 N. Venice Blvd., Venice 90291",9,4/13/1998,2/28/2033,,GSD,,No recent inspection,681,Venice,90291,,,,,,,,,,,,,,,,,,
60,L.A. Theatre Works,"681 N. Venice Blvd., Venice 90291",9,4/13/1998,2/28/2033,,GSD,,No recent inspection,681,Venice,90291,,,,,,,,,,,,,,,,,,
71,L.A Fire Dept. Historical Society,"1355 N. Caheunga Blvd., L.A.",13,3/27/2003,4/30/2033,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",1355,Caheunga,90028,,,,,,,,,,,,,,,,,,
106,Little Tokyo Service Center,"245-249 Los Angeles Street, 90012",9,6/1/2011,5/1/2036,,Aging,,Trying to build a new gymnasium,245,Los Angeles,90012,,,,,,,,,,,,,,,,,,
63,Culver City Redevelopment Agency,"9015 Venice Blvd., Venice 90232",10,6/8/1987,6/7/2037,,Rec&Parks?,,No recent inspection,9015,Venice,90232,,,,,,,,,,,,,,,,,,
64,"Barrio Action Group, Inc.","4927 N. Huntington Dr., L.A. 90032",14,1/15/2008,1/14/2038,,GSD,,No recent inspection,4927,Huntington,90032,,,,,,,,,,,,,,,,,,
96,Crescenta-YMCA,"6840 Foothill Blvd., Tujunga",2,1/23/1988,1/30/2038,,GSD,,No recent inspection,6840,Foothill,91042,,,,,,,,,,,,,,,,,,
62,Museum of Contemporary Art,"134-152 N. Central Ave., L.A. 90012",9,6/21/2001,2/28/2046,,GSD,,Tenant Improvements,134,Central,90012,,,,,,,,,,,,,,,,,,
76,Japanese American National Museum,"355-369 E. 1st St., L.A. 90012",9,10/1/2002,3/30/2052,,GSD,,No recent inspection,355,1,90012,,,,,,,,,,,,,,,,,,
61,Social and Public Art Resources Center,"685 N. Venice Blvd., Venice 90291",9,6/1/1998,5/31/2053,,GSD,,No recent inspection,685,Venice,90291,,,,,,,,,,,,,,,,,,
10,"Delta Sigma Theta Life Development, Inc.","2528 West Blvd., L.A. 90037",11,4/10/1992,,Mo to Mo,Aging,,"Tenant Improvements, ADA Compliance",2528,West,90037,,,,,,,,,,,,,,,,,,
4,Bradley/Milken Youth & Family Center,"1773 E. Century Blvd., L.A. 90002",15,,,,HCID,,Tenant Improvements,1773,Century,90002,,,,,,,,,,,,,,,,,,
8,Community Coalition/Sub. Abuse Prev.,"8101-8113 S. Vermont Ave., L.A. 90044",8,lease in process,,,GSD,,New water service,8101,Vermont,90044,,,,,,,,,,,,,,,,,,
14,Los Angeles Community Garden Council,"5863 S. Wall St., L.A. 90011",9,lease in process,,,HCID,,No recent inspection,5863,Wall,90011,,,,,,,,,,,,,,,,,,
41,Central City Neighb. Org. & Youth Fair Chance,"501 S. Bixel, L.A. 90017",1,lease in process,,,HCID,,"Tenant Improvements, ADA Compliance",501,Bixel,90017,,,,,,,,,,,,,,,,,,
74,Foundation for Early Childhood Educ.,"8835 Avalon Blvd., L.A.",9,Lease in process,,,HCID,ground lease,non-City trailers,8835,Avalon,90003,,,,,,,,,,,,,,,,,,
77,Neighborhood Youth Association,"804 Broadway, Venice 90291",11,Lease in process,,,GSD,,No recent inspection,804,Broadway,90291,,,,,,,,,,,,,,,,,,
81,Wilmington Historical Society,"309 W. Opp St., Wilmington, 90744",15,Lease in process,,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",309,Opp,90744,,,,,,,,,,,,,,,,,,
84,Wilmington Chamber of Commerce,"544 N. Avalon Blvd., Wilmington 90744",15,Lease in process,,,GSD,,"Tenant Improvement, ADA Compliance, Seismic Retrofit",544,Avalon,90744,,,,,,,,,,,,,,,,,,
85,Robert F. Kennedy Institute,"544 N. Avalon Blvd., Wilmington 90744",15,Lease in process,,,GSD?,,"Tenant Improvement, ADA Compliance, Seismic Retrofit",544,Avalon,90744,,,,,,,,,,,,,,,,,,
86,Wilmington Healthy Start,"544 N. Avalon Blvd., Wilmington 90744",15,Lease in process,,,GSD?,,"Tenant Improvement, ADA Compliance, Seismic Retrofit",544,Avalon,90744,,,,,,,,,,,,,,,,,,
87,Good Samaritan Counseling,"544 N. Avalon Blvd., Wilmington 90744",15,Lease in process,,,GSD?,,"Tenant Improvement, ADA Compliance, Seismic Retrofit",544,Avalon,90744,,,,,,,,,,,,,,,,,,
88,San Pedro Bay Historical Society,"638 S. Beacon St., San Pedro, 90731",15,Lease in process,,,GSD?,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",638,Beacon,90731,,,,,,,,,,,,,,,,,,
89,Harbor Area Volunteer Center,"638 S. Beacon St., San Pedro, 90731",15,Lease in process,,,GSD?,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",638,Beacon,90731,,,,,,,,,,,,,,,,,,
104,Tujunga Temporary Aid Center,"7747 Foohill Blvd., Tujunga 91402",2,Lease in process,,,GSD,,No recent inspection,7747,Foothill,91402,,,,,,,,,,,,,,,,,,
91,Project Restore,"200 N. Main St., L.A 90012",9,No Lease Agree.,,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",200,Main,90012,,,,,,,,,,,,,,,,,,
9,Cypress Park Youth & Family Center,"929 Cypress Ave., L.A. 90065",1,,,,HCID,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",929,Cypress,90065,,,,,,,,,,,,,,,,,,
11,"Delta Sigma Theta Life Development, Inc.","2475 Washington Blvd., L.A. 90019",10,,,Mo to Mo,Aging,,"Tenant Improvements, ADA Compliance",2475,Washington,90019,,,,,,,,,,,,,,,,,,
27,Milestone Center for Education Therapy,"5070 Slauson Ave., L.A. 90230",11,,,,Rec&Parks,,No recent inspection,5070,Slauson,90230,,,,,,,,,,,,,,,,,,
30,"O.P.I.C.A. Adult Day Care Center, Inc","11759 Missouri Ave., L.A. 90025",11,,,,Aging,,No recent inspection,11759,Missouri,90025,,,,,,,,,,,,,,,,,,
31,Pacoima Youth and Family Center,"11243 Glenoaks Blvd St. 30., Pacoima 91331",7,,,,HCID,CDDw/non prof ten,Tenant Improvements,11243,Glenoaks,91331,,,,,,,,,,,,,,,,,,
35,S. Central Youth Opportunities Unlimited,"917-927 W. Manchester Blvd., L.A. 90044",8,,,,HCID,Run by CDD,No recent inspection,917,Manchester,90044,,,,,,,,,,,,,,,,,,
36,Tom Bradley W. L.A Youth & Fam. Cen.,"5213 W. Pico Blvd., L.A. 90031",10,,,,HCID,Run by CDD,New Building,5213,Pico,90031,,,,,,,,,,,,,,,,,,
37,University Muslim Medical Association,"711 W. Florence Ave., L.A. 90044",8,,,Mo to Mo,GSD,,"Tenant Improvements, ADA Compliance, Major Remodle",711,Florence,90044,,,,,,,,,,,,,,,,,,
38,Vera Davis McClendon Youth & Fam. Cen.,"610 California St., Venice 90291",11,,,,HCID,Run By CDD,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",610,California,90291,,,,,,,,,,,,,,,,,,
79,Historical Society of Southern California,"200 E. Avenue 43, L.A.",9,,,,GSD,,,200,43,90031,,,,,,,,,,,,,,,,,,
80,Organization for Needs of the Elderly,"17400 Victory Blvd., Encino",3,,,,Rec&Parks,,Water Meter Seperation,17400,Victory,91406,,,,,,,,,,,,,,,,,,
97,Barnarde Senior Citizen Center,"4935 Balboa Blvd., Encino, 91316",5,,,,Rec&Parks,,No recent inspection,4935,Balboa,91316,,,,,,,,,,,,,,,,,,
98,Canoga Park Senior Citizen Center,"7326 Jordan Ave., Canoga Park, 91303",3,,,,Rec&Parks,,No recent inspection,7326,Jordan,91303,,,,,,,,,,,,,,,,,,
109,Armenian Cultural Center,"5001 N Balboa Blvd, Encino",5,,,,GSD,,On hold due to zoning concerns,,,, Council Approved - In Process,,,,,,,,,,,,,,,,,
110,Pacoima Beautiful,"13520 Van Nuys Blvd, Pacoima",7,,,,GSD,,Sub lease agreement at City Attorney,,,, Council Approved - In Process,,,,,,,,,,,,,,,,,
111,Coalition for Responsible Community,4225 S. Olive St-Juniperro Serra Library,9,,,,GSD,,,,,,Non Profit Vacated Facility,,,,,,,,,,,,,,,,,
112,LA Conservation Corps ,"729 W. Manchester Ave, LA 90044",8,,,,GSD,,,,,,Non Profit Vacated Facility,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
