PropertyID,OccupancyType,Building,Address,City,State,Zip,Contact,ContactTel,RevisedDate,LastCarrier,InspectionDate,BRepCostNew,BSquareFoot,CRepCostNew,ParkSquareFoot,ParkSubStructure,ValuationDate,WallType,Heating,Cooling,RoofMaterial,Passenger,Freight,CommerciallyInsured,FEMAGrant,FEMARef,GrantDateRec,FEMAAmt,PropertySold,SoldDate,PropertyActive,ActiveDate,InactiveDate,MICLA,MICLADate,YearBuilt,StoriesNo,BuildingSF,ParkingSF,MFireAlarm,AFireAlarm,Sprinkler,Fully,Partial,EntryAlarm,ProtectionClass,Notes,UserID,InputDate,LossControlReport,AppraisalReport
P00298,Library,Alma Reaves Woods Branch Library,10205 Compton Blvd,Los Angeles,CA,90002,Cherly Collins,3105487785,6/18/12 0:00,NULL,6/14/12 0:00,2650000,212,0,212,0,6/18/12 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/96 0:00,NULL,U,NULL,1996,1,12500,0,Y,Y,Y,Y,NULL,Y,NULL,   ,sbiggs,1/17/13 15:00,N,N
P00176,Fire Station,Old Fire Station 43,10234 National Blvd,Los Angeles,CA,90034,Community Liaison Officer,2139783810,1/7/11 0:00,NULL,NULL,608608,152,0,152,0,1/7/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,9/27/42 0:00,NULL,N,NULL,1942,2,4004,0,Y,Y,Y,Y,NULL,Y,NULL,   ,sbiggs,2/15/13 12:45,N,N
P00264,Fire Station,Old Fire Station 87,10241 Balboa Blvd,Northridge,CA,91325,Community Liaison Officer,2139783810,11/4/11 0:00,NULL,NULL,846792,152,0,152,0,11/4/11 0:00,Wood / Concrete,Y,Y,NULL,N,N,N,U,NULL,NULL,0,NULL,NULL,Y,11/16/51 0:00,NULL,N,NULL,1951,2,5571,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,2/15/13 13:41,N,N
P00350,Library,Pico Union Branch Library,1030 S. Alvarado St,Los Angeles,CA,90006,Cheryl Collins,3105487785,1/9/13 0:00,NULL,1/9/13 0:00,2650000,212,NULL,212,NULL,1/9/13 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,NULL,NULL,NULL,Y,1/1/04 0:00,NULL,N,NULL,2004,1,12500,NULL,Y,Y,Y,Y,NULL,Y,NULL,NULL,sbiggs,1/9/13 16:14,N,N
P00067,Pump Station,Pump Station 633,104 Chautauqua,Pacific Palisades,CA,90272,BJ Fulkerson,213-485-5849,3/12/15 0:00,XL American,3/1/15 0:00,218567,0,0,0,0,3/1/15 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1962,NULL,0,0,N,N,N,N,NULL,N,NULL,Property - Xl American    ,sbiggs,6/30/15 13:35,N,N
P00323,Multi-Purpose Bldg,Hansen Dam Golf Complex,10400 Glenoaks Blvd,Pacoima,CA,91331,James Ward,8182461243,11/6/12 0:00,NULL,10/24/12 0:00,650000,151,0,151,0,10/24/12 0:00,Concrete Block,Y,Y,Wood,N,N,Y,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,N,NULL,NULL,1,4316,0,Y,Y,Y,Y,NULL,Y,NULL,"Property Data obtained from Department of Recreation and Parks, James Ward. Refer to Golf Complex's Rental Value Entry.    ",sbiggs,2/15/13 13:58,N,N
P00325,Offices / Workshops,Hanson Dam Golf Complex,10400 Glenoaks Blvd,Pacoima,CA,91331,James Ward,8182461243,11/8/12 0:00,NULL,10/29/12 0:00,650000,151,0,151,0,10/29/12 0:00,Concrete Block,N,N,NULL,N,N,Y,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,U,NULL,NULL,1,4316,0,Y,Y,Y,Y,NULL,Y,NULL, ,sbiggs,2/15/13 13:58,N,N
P00024,Restaurant Concession,Hansen Dam Golf Restaurant,10400 Glenoaks Blvd.,Pacoima,CA,91331,Dan Eason,213-978-7227,7/21/10 0:00,NULL,NULL,1180000,77,0,77,0,5/15/09 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1974,NULL,15274,0,Y,Y,Y,Y,NULL,Y,NULL,"Ins. Term Year 03/10 thru 03/11;  Property - Lexington Ins. Co. #02041281, $500M p/o $1B; Zurich Ins. Co. #ERP9140209-03, $500M p/o $1B.     ",sbiggs,11/20/12 15:06,U,U
P00184,Fire Station,Fire Station 51,10435 Sepulveda Bl.,Los Angeles,CA,90045,Community Liaison Officer,2139783810,1/13/11 0:00,NULL,NULL,1345656,152,0,152,0,1/13/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,5/8/56 0:00,NULL,N,NULL,1956,2,8853,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,2/15/13 12:48,N,N
P00324,Multi-Purpose Bldg,Rancho Park Golf Complex,10460 West Pico Blvd,Los Angeles,CA,90064,James Ward,8182461243,11/6/12 0:00,NULL,NULL,480000,150,0,150,0,10/24/12 0:00,Concrete Block,Y,Y,Metal,N,N,Y,N,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,N,NULL,1980,1,3200,0,Y,Y,Y,Y,NULL,Y,NULL,"Property Data obtained from Department of Recreation and Parks, James Ward. Refer to Golf Complex's Rental Value Entry.  ",sbiggs,2/15/13 13:59,N,N
P00046,Pump Station,Pump Station 605,1051 San Pasqual,Highland Park,CA,90042,Raul Macias,213-485-5844,3/12/15 0:00,XL American,3/1/15 0:00,548561,0,0,0,0,3/1/15 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1962,NULL,0,0,N,N,N,N,NULL,N,NULL,Property - Xl American        ,sbiggs,6/24/15 15:59,N,N
P00271,Fire Station,Fire Station 92,10556 W. Pico Blvd,Los Angeles,CA,90064,Community Liaison Officer,8183521504,3/12/15 0:00,XL American,3/1/15 0:00,978690,103,0,103,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,N,N,Y,N,NULL,NULL,0,NULL,NULL,Y,10/22/59 0:00,NULL,N,NULL,1959,2,9276,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American        ,sbiggs,6/24/15 15:31,N,U
P00340,Library,Granada Hills Branch Library,10640 Petit Ave,Granada Hills,CA,91344,Cheryl Collins,3105487785,1/9/13 0:00,NULL,1/9/13 0:00,2397720,212,0,212,0,1/9/13 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/75 0:00,NULL,N,NULL,1975,1,11310,0,Y,Y,Y,Y,NULL,Y,NULL, ,sbiggs,1/9/13 14:23,N,N
P00203,Fire Station,Fire Station 71,107 S. Beverly Glen Bl,Los Angeles,CA,90024,Community Liaison Officer,2139783810,2/11/11 0:00,NULL,NULL,819736,152,0,152,0,2/11/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,11/5/48 0:00,NULL,N,NULL,1948,2,5393,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,2/15/13 13:07,N,N
P00142,Fire Station,Fire Station 3,108 N. Fremont Ave,Los Angeles,CA,90012,Community Liaison Officer,2139783810,3/12/15 0:00,XL American,3/1/15 0:00,968388,63,0,63,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,9/9/80 0:00,NULL,N,NULL,1980,2,15000,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American       ,sbiggs,6/24/15 15:30,N,N
P00170,Fire Station,Fire Station 37,1090 Veteran Ave.,Los Angeles,CA,90024,Community Liaison Officer,2139783810,3/12/15 0:00,XL American,3/1/15 0:00,875670,86,0,86,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,N,N,Y,N,NULL,NULL,0,NULL,NULL,Y,10/28/43 0:00,NULL,N,NULL,1943,2,9900,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American        ,sbiggs,6/24/15 15:33,N,N
P00125,Wastewater Plant,East Valley Solid Waste Resources Mgmt Complex,11050 Pendleton Street,Los Angeles,CA,91352,David Paschal,2139289517,5/15/15 0:00,XL American,5/15/15 0:00,13783219,892,0,892,0,5/15/15 0:00,Concrete Block,Y,Y,NULL,Y,Y,Y,N,NULL,NULL,0,NULL,NULL,Y,1/1/70 0:00,NULL,N,NULL,1970,2,15000,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American        ,sbiggs,6/24/15 14:33,N,N
P00012,Office Bldg,City Hall South,111 1st Street,Los Angeles,CA,90012,David Paschal,213-928-9517,5/15/15 0:00,XL American,3/1/15 0:00,20196041,189,4443558,189,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,Y,Y,T,N,NULL,NULL,0,U,NULL,Y,1/1/54 0:00,NULL,N,NULL,1954,8,103685,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American            ,sbiggs,5/15/15 13:58,N,N
P00033,Police Station,Mission Police Station,11121 Sepulveda Blvd.,Mission Hills,CA,91345,Dan Eason,213-978-7227,5/15/15 0:00,XL American,3/1/15 0:00,14099729,87,3985456,87,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,Y,Y,Y,N,NULL,NULL,0,U,NULL,Y,1/1/05 0:00,NULL,N,NULL,2005,2,55391,101983,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American            North Valley Police Station           ,sbiggs,5/15/15 13:54,N,N
P00233,Offices / Training Facility,Boys and Girls Club of San Fernando Valley,11251 Glenoaks Blvd,Pacoima,CA,90042,Chris Rajapakse,8183521504,8/3/11 0:00,NULL,8/2/11 0:00,5284620,157,0,157,0,8/3/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,N,NULL,1980's,1,33660,0,Y,Y,Y,U,NULL,Y,NULL,  ,sbiggs,2/14/13 15:20,N,N
P00147,Fire Station,Fire Station 8,11351 Tampa Ave,Northridge,CA,91324,Community Liaison Officer,2139783810,12/14/10 0:00,NULL,NULL,796480,152,0,152,0,12/14/10 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,12/1/71 0:00,NULL,N,NULL,1971,2,5240,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,11/20/12 15:40,N,N
P00361,Library,West Los Angeles Branch Library,11360 Santa Monica Blvd,Los Angeles,CA,90025,Cheryl Collins,3105487785,1/10/13 0:00,NULL,1/10/13 0:00,2912880,212,0,212,0,1/10/13 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/99 0:00,NULL,N,NULL,1999,2,13740,0,Y,Y,Y,Y,NULL,Y,NULL, ,sbiggs,1/10/13 15:26,N,N
P00354,Library,Porter Ranch Branch Library,11371 Tampa Avs,Northridge,CA,91326,Cheryl Collins,3105487785,1/10/13 0:00,NULL,1/10/13 0:00,2607600,212,NULL,212,NULL,1/10/13 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,NULL,NULL,NULL,Y,1/1/13 0:00,NULL,N,NULL,1995,1,12300,NULL,Y,Y,Y,Y,NULL,Y,NULL,NULL,sbiggs,1/10/13 15:00,N,N
P00292,Pump Station,Pump Station,11430 Woodbine St,Los Angeles,CA,90015,BJ Fulkerson,2139289517,3/12/14 0:00,XL American,3/1/14 0:00,1938000,0,0,0,0,3/1/14 0:00,Concrete,N,N,NULL,N,N,T,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,U,NULL,NULL,0,0,0,N,N,N,N,NULL,N,NULL,Property - Xl American    ,sbiggs,7/17/14 10:49,N,N
P00248,Offices / Workshops,Mini Twelve Step House,1145 W. 37th Place,Los Angeles,CA,90007,Chris Rajapakse,8183521504,10/6/11 0:00,NULL,10/6/11 0:00,392500,157,0,157,0,10/6/11 0:00,Wood Frame,Y,N,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,N,NULL,1950,2,2500,0,N,N,N,N,NULL,N,NULL,  ,sbiggs,2/14/13 15:43,N,N
P00251,Offices / Workshops,Wilmington Jaycee Foundation,1148 W. Avalon Blvd,Los Angeles,CA,90744,Chris Rajapakse,8183521504,10/6/11 0:00,NULL,10/6/11 0:00,565200,157,0,157,0,10/6/11 0:00,Wood Frame,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,N,NULL,1962,1,3600,0,N,N,N,N,NULL,N,NULL, ,sbiggs,2/15/13 10:26,N,N
P00135,Office Bldg,Public Works Bldg,1149 S. Broadway Street,Los Angeles,CA,90015,BJ Fulkerson,2134855849,5/15/15 0:00,XL American,3/1/15 0:00,66213014,156,17656804,156,0,3/1/15 0:00,Metal / Steel Frame,Y,Y,NULL,Y,Y,Y,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,N,NULL,1971,13,412000,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American            AKA-Transamerica Bldg.         ,sbiggs,5/18/15 10:56,Y,N
P00334,Library,Cypress Park Branch library,1150 Cypress Ave,Los Angeles,CA,90065,Cheryl Collins,3105487785,1/9/13 0:00,NULL,1/9/13 0:00,22790000,212,0,212,0,1/9/13 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/03 0:00,NULL,U,NULL,2003,1,10750,NULL,Y,Y,Y,Y,NULL,Y,NULL, ,sbiggs,1/9/13 14:00,N,N
P00134,Fire Station,Fire Station 59,11505 Olympic Blvd.,Los Angeles,CA,90064,Community Liaison Officer,2139783810,3/12/15 0:00,XL American,3/1/15 0:00,3090600,502,0,502,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,N,N,Y,N,NULL,NULL,0,NULL,NULL,Y,5/4/63 0:00,NULL,N,NULL,1963,2,5974,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American          ,sbiggs,6/24/15 15:23,N,N
P00047,Pump Station,Pump Station 606,1164 Dacotah Street,Los Angeles,CA,90025,David Paschal,213-928-9517,3/12/15 0:00,XL American,3/1/15 0:00,7232004,0,0,0,0,3/1/15 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1955,NULL,0,0,N,N,N,N,NULL,N,NULL,Property - Xl American          ,sbiggs,6/30/15 13:20,U,U
P00035,Police Station,North Hollywood Police Station,11640 W. Burbank,N. Hollywood,CA,91601,Dan Eason,213-485-5849,5/15/15 0:00,XL American,5/15/15 0:00,6160596,161,3000478,161,0,3/1/14 0:00,Metal / Steel Frame,Y,Y,NULL,Y,Y,Y,N,NULL,NULL,0,U,NULL,Y,1/1/96 0:00,NULL,N,NULL,1996,3,37340,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American           ,sbiggs,6/24/15 14:10,N,N
P00017,Fire Station,Fire Station 28,11641 Corbin Avenue,Los Angeles,CA,91326,Dan Eason,213-978-7227,5/15/15 0:00,XL American,3/1/15 0:00,1992819,162,642845,162,0,3/1/15 0:00,Frame,Y,Y,Tile Roof,N,N,Y,N,NULL,NULL,0,U,NULL,Y,1/1/94 0:00,NULL,N,NULL,1994,2,12000,0,Y,Y,Y,Y,NULL,Y,NULL,Property - XL American                   ,sbiggs,5/15/15 13:48,N,N
P00062,Pump Station,Pump Station 626,11645 Chiquita St.,Studio City,CA,91504,Dan Eason,213-978-7227,3/12/15 0:00,XL American,3/1/15 0:00,224996,0,0,0,0,3/1/15 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1987,1,0,0,N,N,N,N,NULL,N,NULL,Property - Xl American       ,sbiggs,6/30/15 13:31,N,N
P00196,Fire Station,Fire Station 64,118 W. 108th St,Los Angeles,CA,90061,Community Liaison Officer,2139783810,2/11/11 0:00,NULL,NULL,3687520,152,0,152,0,2/11/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,7/7/09 0:00,NULL,N,NULL,2009,2,24260,0,Y,Y,Y,Y,NULL,Y,NULL,   ,sbiggs,2/15/13 13:05,N,N
P00331,Library,Brentwood Branch Library,11820 San Vicente Blvd,Los Angeles,CA,90049,Cheryl Collins,3105487785,12/6/12 0:00,NULL,NULL,2204800,212,0,212,0,12/6/12 0:00,Concrete,Y,Y,NULL,Y,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/94 0:00,NULL,N,NULL,1994,2,10400,0,Y,Y,Y,Y,NULL,Y,NULL, ,sbiggs,12/6/12 16:12,N,N
P00159,Fire Station,Fire Station 21,1192 E. 51st St,Los Angeles,CA,90005,Community Liaison Officer,2139783810,12/14/10 0:00,NULL,NULL,3425776,152,0,152,0,12/14/10 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,11/18/08 0:00,NULL,N,NULL,2008,2,22538,0,Y,Y,Y,Y,NULL,Y,NULL,   ,sbiggs,11/20/12 16:00,N,N
P00056,Pump Station,Pump Station 619,11953 Sherman Way,N. Hollywood,CA,91605,Dan Eason,213-978-7227,3/12/15 0:00,XL American,3/1/15 0:00,5999885,0,0,0,0,3/1/15 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1963,1,616,0,N,N,N,N,NULL,N,NULL,Property - Xl American    ,sbiggs,6/30/15 13:28,N,N
P00194,Fire Station,Fire Station 62,11970 W. Venice Bl,Los Angeles,CA,90066,Community Liaison Officer,2139783810,2/11/11 0:00,NULL,NULL,2451760,152,0,152,0,2/11/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,5/19/07 0:00,NULL,N,NULL,2007,2,16130,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,2/15/13 12:58,N,N
P00286,Library,Ascot Branch Library,120 W. Florence Ave,Los Angeles,CA,90003,Cherly Collins,3105487785,1/25/12 0:00,NULL,1/25/12 0:00,2226000,212,0,212,0,1/25/12 0:00,Concrete,Y,Y,NULL,Y,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/04 0:00,NULL,N,NULL,1939/2004,2,10500,0,Y,Y,Y,Y,NULL,Y,NULL,     ,sbiggs,1/17/13 14:58,N,N
P00028,Wastewater Plant,Hyperion Treatment Plant,12000 Vista Del Mar,Playa Del Rey,CA,90293,BJ Fulkerson,213-485-5849,3/12/15 0:00,XL American,3/1/15 0:00,1813210492,1396,0,1396,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,Y,Y,T,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,Various,3,1261526,0,Y,Y,Y,Y,NULL,Y,NULL,Property - Xl American           ,sbiggs,6/24/15 15:48,Y,N
P00302,Library,Lake View Terrace Branch Library,12002 Osborne Street,Lake View Terrace,CA,91342,Cheryl Collins,3105487785,8/3/12 0:00,NULL,8/2/12 0:00,2268400,212,0,212,0,8/3/12 0:00,Concrete,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/03 0:00,NULL,N,NULL,2003,1,10700,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,1/17/13 15:02,N,N
P00345,Library,Mar Vista Branch Library,12006 Venice Blvd,Los Angeles,CA,90066,Cheryl Collins,3105487785,1/9/13 0:00,NULL,1/9/13 0:00,2650000,212,NULL,212,NULL,1/9/13 0:00,Concrete Block,Y,Y,NULL,N,N,NULL,N,NULL,NULL,NULL,NULL,NULL,Y,1/1/03 0:00,NULL,N,NULL,2003,1,12500,NULL,Y,Y,Y,Y,NULL,Y,NULL,NULL,sbiggs,1/9/13 15:12,N,N
P00030,Convention / Exhibition Center,Los Angeles Convention Ctr,1201 Figueroa St.,Los Angeles,CA,90015,David Paschal,213-928-9517,3/12/15 0:00,XL Group Insurance,3/1/15 0:00,854772179,201,13098914,201,0,3/1/15 0:00,Concrete Block,Y,Y,NULL,Y,Y,T,N,NULL,NULL,0,U,NULL,Y,1/1/71 0:00,1/1/71 0:00,N,NULL,1971/1991,3,4121150,515500,Y,Y,Y,Y,NULL,Y,NULL,Property - Xl American         ,sbiggs,6/24/15 15:42,Y,N
P00296,Library,Vermont Square Branch Library,1201 W. 48th Street,Los Angeles,CA,90037,Cherly Collins,3105487785,6/18/12 0:00,NULL,NULL,1852032,212,0,212,0,6/18/12 0:00,Concrete,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,1/1/96 0:00,NULL,N,NULL,1996,1,8736,0,Y,Y,Y,Y,NULL,Y,NULL,  ,sbiggs,1/17/13 15:00,N,N
P00156,Fire Station,Fire Station 18,12050 Balboa Blvd,Granada Hills,CA,91344,Community Liaison Officer,2139783810,12/14/10 0:00,NULL,NULL,668800,152,0,152,0,12/14/10 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,11/18/68 0:00,NULL,N,NULL,1968,2,4400,0,Y,Y,Y,Y,NULL,Y,NULL,   ,sbiggs,11/20/12 15:57,N,N
P00250,Offices / Workshops,Greater Watts Childcare Center,1212 E. 108th Street,Los Angeles,CA,90059,Chris Rajapakse,8183521504,10/6/11 0:00,NULL,10/6/11 0:00,1130400,157,0,157,0,10/6/11 0:00,Concrete Block,Y,Y,NULL,N,N,N,N,NULL,NULL,0,NULL,NULL,Y,NULL,NULL,N,NULL,1980,1,7200,0,Y,Y,Y,Y,NULL,Y,NULL,Watts Labor Community Action Committee  ,sbiggs,2/15/13 10:26,N,N
P00087,Pump Station,Pump Station 677,1220 W. B Street,Wilmington,CA,90744,BJ Fulkerson,213-485-5849,3/12/14 0:00,XL American,3/1/14 0:00,926078,0,0,0,0,3/1/14 0:00,Concrete,N,N,NULL,N,N,Y,N,NULL,NULL,0,U,NULL,Y,NULL,NULL,N,NULL,1961,1,0,0,N,N,N,N,NULL,N,NULL,Property - Xl American   ,sbiggs,7/10/14 15:43,N,N
