OBJECTID *,Shape *,AIN,APN,AgencyClassNo,AgencyName,AgencyType,UseCode,UseCode_2,UseType,UseDescription,RecDate,RecDocNo,OwnerName,SpecialName,MailStreet,MailAddress,MailCity,MailZip,Roll_Year,Roll_LandValue,Roll_ImpValue,Roll_PersPropValue,Roll_FixtureValue,Roll_HomeOwnersExemp,Roll_LandBaseYear,Roll_ImpBaseYear,LastSaleDate,Assr_Map,Assr_Index_Map,APN,A_ComRedevAg,B_DWP,C_GSDSurplus,D_CAO_Interim,E_PublicWorks,F_Surplus_Consol,G_Nona,H_Wilmington,Shape_Length,Shape_Area
11,Polygon,7425009007,7425-009-007,0,<Null>,<Null>,100,1,Residential,Single,20050826,2055311,"ADAME,MICHAEL", ,MCFARLAND AVE,942 MCFARLAND AVE,WILMINGTON CA,90744-3626,2013,180600,98400,0,0,0,2006,2006,20050826,7425-009,7425-NDX,7425009007,0,0,0,0,0,0,0,1,380.014804,7000.729749
12,Polygon,7336009271,7336-009-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19810245,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,130308,0,0,0,0,1981,1981,0,7336-009,7336-NDX,7336009271,0,1,0,0,0,0,0,0,4988.890217,236988.7782
13,Polygon,7336004276,7336-004-276,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,335988,0,0,0,0,1980,1982,0,7336-004,7336-NDX,7336004276,0,1,0,0,0,0,0,0,2583.965589,106361.5344
14,Polygon,7336004277,7336-004-277,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,322317,0,0,0,0,1980,1982,0,7336-004,7336-NDX,7336004277,0,1,0,0,0,0,0,0,2283.391778,104164.5451
15,Polygon,7425010002,7425-010-002,0,<Null>,<Null>,300V,30,Industrial,Industrial,20050210,319131,WARREN RESOURCES OF CA INC,ATTN: LAND DEPARTMENT,OCEANGATE,100 OCEANGATE   STE 950,LONG BEACH CA,90802-4350,2013,29325,0,0,0,0,2005,2005,20050210,7425-010,7425-NDX,7425010002,0,0,0,0,0,0,0,1,330.005514,3500.08395
16,Polygon,6268005270,6268-005-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,122800,0,0,0,0,1978,1978,0,6268-005,6268-NDX,6268005270,0,1,0,0,0,0,0,0,2612.754466,131995.2115
17,Polygon,7425013021,7425-013-021,0,<Null>,<Null>,020V,2,Residential,Two Units,20040930,2514724,WILMINGTON MANAGEMENT LLC,YU HUAI HSUEH,HARBOR BLVD,921 N HARBOR BLVD   NO 615,LA HABRA CA,90631-3103,2013,9703,0,0,0,0,1996,1996,19950928,7425-013,7425-NDX,7425013021,0,0,0,0,0,0,0,1,359.989468,5599.172499
18,Polygon,7415004003,7415-004-003,0,<Null>,<Null>,2700,27,Commercial,Parking Lots (Commercial Use Properties),19910605,834360,"LIOU,CHUH JANG AND", ,PACIFIC COAST HWY,1023 W PACIFIC COAST HWY,WILMINGTON CA,90744-2423,2013,234354,1160,0,0,0,1991,1991,19910605,7415-004,7415-NDX,7415004003,0,0,0,0,0,0,1,0,338.150783,5580.6007
19,Polygon,7415003032,7415-003-032,0,<Null>,<Null>,010V,1,Residential,Single,19650810,0,EXXON CORP, ,P O BOX 53, P O BOX 53,HOUSTON       TX,77001,2013,5155,0,0,0,0,1975,1975,0,7415-003,7415-NDX,7415003032,0,0,0,0,0,0,1,0,350.070024,6251.5408
20,Polygon,6268005271,6268-005-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,2295,0,0,0,0,1978,1978,0,6268-005,6268-NDX,6268005271,0,1,0,0,0,0,0,0,306.057611,3708.001251
21,Polygon,7425018023,7425-018-023,0,<Null>,<Null>,640V,64,Recreational,"Clubs., Lodge Halls, Fraternal Organizations",20061201,2665479,"CHAVEZ,MICHAEL A AND", ,M ST,1310 E M ST,WILMINGTON CA,90744-2826,2013,57625,0,0,0,0,2003,2003,20030415,7425-018,7425-NDX,7425018023,0,0,0,0,0,0,0,1,325.632429,4913.466588
22,Polygon,6268017274,6268-017-274,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19740000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,40718,0,0,0,0,1978,1978,0,6268-017,6268-NDX,6268017274,0,1,0,0,0,0,0,0,1534.095358,66798.95985
23,Polygon,6268017270,6268-017-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,47352,0,0,0,0,1978,1978,0,6268-017,6268-NDX,6268017270,0,1,0,0,0,0,0,0,757.407367,27627.9377
24,Polygon,6268017275,6268-017-275,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19740000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,18933,0,0,0,0,1978,1978,0,6268-017,6268-NDX,6268017275,0,1,0,0,0,0,0,0,833.339584,29917.4273
25,Polygon,6268017277,6268-017-277,236924,L A  City Dept of Water & Power,LADWP,890V,89,<Null>,<Null>,19750000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,95023,0,0,0,0,1978,1978,0,6268-017,6268-NDX,6268017277,0,1,0,0,0,0,0,0,2508.436042,116387.9786
26,Polygon,7425020012,7425-020-012,0,<Null>,<Null>,010V,1,Residential,Single,19870225,284990,"HARDLEY,SHIRLEY C", ,CRAIGJON AVE,19423 CRAIGJON AVE,CARSON CA,90746-2858,2013,47554,0,0,0,0,1987,1987,19870225,7425-020,7425-NDX,7425020012,0,0,0,0,0,0,0,1,320.262893,4805.442401
27,Polygon,7425029020,7425-029-020,0,<Null>,<Null>,010V,1,Residential,Single,20060119,127938,WARREN RESOURCES OF CA INC,LAND DEPARTMENT,OCEANGATE,100 OCEANGATE   950,LONG BEACH CA,90802-4350,2013,72242,0,0,0,0,2006,2006,20060119,7425-029,7425-NDX,7425029020,0,0,0,0,0,0,0,1,356.038696,5986.890249
28,Polygon,7315004271,7315-004-271,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,620612,0,0,0,0,1982,1982,0,7315-004,7315-NDX,7315004271,0,1,0,0,0,0,0,0,3390.424622,219966.5451
29,Polygon,7425030011,7425-030-011,0,<Null>,<Null>,8300,83,Miscellaneous,Petroleum & Gas,20060119,127938,WARREN RESOURCES OF CA INC,LAND DEPARTMENT,OCEANGATE,100 OCEANGATE   950,LONG BEACH CA,90802-4350,2013,77235,0,0,0,0,2006,2006,20060119,7425-030,7425-NDX,7425030011,0,0,0,0,0,0,0,1,355.790889,5982.73295
30,Polygon,7425026013,7425-026-013,0,<Null>,<Null>,010V,1,Residential,Single,20040930,2514724,WILMINGTON MANAGEMENT LLC,YU HUAI HSUEH,HARBOR BLVD,921 N HARBOR BLVD   NO 615,LA HABRA CA,90631-3103,2013,10784,0,0,0,0,1996,1996,19950928,7425-026,7425-NDX,7425026013,0,0,0,0,0,0,0,1,350.819492,5416.161001
31,Polygon,7425032019,7425-032-019,0,<Null>,<Null>,100,1,Residential,Single,20120503,660698,"GARCIA,MARIO C AND", ,PIONEER AVE,1012 PIONEER AVE,WILMINGTON CA,90744-3712,2013,133722,100878,0,0,7000,2012,2012,20120503,7425-032,7425-NDX,7425032019,0,0,0,0,0,0,0,1,360.088033,5602.141698
32,Polygon,7425026014,7425-026-014,0,<Null>,<Null>,010V,1,Residential,Single,20040930,2514724,WILMINGTON MANAGEMENT LLC,C/O YU HUAI HSUEH,HARBOR BLVD,921 N HARBOR BLVD   NO 615,LA HABRA CA,90631-3103,2013,47209,0,0,0,0,1996,1996,19950928,7425-026,7425-NDX,7425026014,0,0,0,0,0,0,0,1,350.86999,5418.1519
33,Polygon,7425032020,7425-032-020,0,<Null>,<Null>,020V,2,Residential,Two Units,20040930,2514724,WILMINGTON MANAGEMENT LLC,YU HUAI HSUEH,HARBOR BLVD,921 N HARBOR BLVD   NO 615,LA HABRA CA,90631-3103,2013,9703,0,0,0,0,1996,1996,19950928,7425-032,7425-NDX,7425032020,0,0,0,0,0,0,0,1,359.86658,5602.677769
34,Polygon,7404002278,7404-002-278,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,168420,0,0,0,0,1978,1978,0,7404-002,7404-NDX,7404002278,0,1,0,0,0,0,0,0,796.101044,38771.84435
35,Polygon,7426008900,7426-008-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19500313,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7426-008,7426-NDX,7426008900,0,0,0,1,0,1,0,0,276.604221,3748.74505
36,Polygon,7426002900,7426-002-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7426-002,7426-NDX,7426002900,0,0,1,0,0,0,0,0,256.748785,380.557
37,Polygon,7416007036,7416-007-036,0,<Null>,<Null>,100V,10,Commercial,Commercial,20101210,1830922,RED FERRARI TRUST, ,OLYMPIC BLVD,1605 W OLYMPIC BLVD   NO 9021,LOS ANGELES CA,90015-3881,2013,104040,0,0,0,0,2011,2011,20101210,7416-007,7416-NDX,7416007036,0,0,0,0,0,0,1,0,340.046506,5201.2145
38,Polygon,7422007040,7422-007-040,<Null>,<Null>,<Null>,010V,1,Residential,Single,20060411,9999999,"ORTIZ,CARLOS ET AL", ,HAWAIIAN AVE,714 HAWAIIAN AVE   4,WILMINGTON CA,90744-4900,2013,140336,0,0,0,0,2006,2006,0,7422-007,7422-NDX,7422007040,0,0,0,0,0,0,0,1,323.04222,6072.209607
39,Polygon,6241001270,6241-001-270,236924,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,93542,0,0,0,0,1978,1978,0,6241-001,6241-NDX,6241001270,0,1,0,0,0,0,0,0,2920.590853,142580.1425
40,Polygon,6241001271,6241-001-271,236924,L A  City Dept of Water & Power,LADWP,880V,88,Government,Government Parcel,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,29538,0,0,0,0,1978,1978,0,6241-001,6241-NDX,6241001271,0,1,0,0,0,0,0,0,777.450321,24326.67205
41,Polygon,7404030900,7404-030-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19690000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL ESTATE BUS GROUP-JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7404-030,7404-NDX,7404030900,0,1,0,0,0,0,0,0,2153.674973,131751.7698
42,Polygon,7107002271,7107-002-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,91803,0,0,0,0,1978,1978,0,7107-002,7107-NDX,7107002271,0,1,0,0,0,0,0,0,1343.67034,56880.84183
43,Polygon,6241017270,6241-017-270,236924,L A  City Dept of Water & Power,LADWP,260V,26,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,26278,0,0,0,0,1978,1978,0,6241-017,6241-NDX,6241017270,0,1,0,0,0,0,0,0,532.371995,11350.37795
44,Polygon,7107002900,7107-002-900,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19600208,<Null>,L A CITY DEPT OF WATER AND POWER,REAL ESTATE BUS GROUP-JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,7107-002,7107-NDX,7107002900,0,1,0,0,0,0,0,0,450.373046,12547.93865
45,Polygon,7107004270,7107-004-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,126285,0,0,0,0,1978,1978,0,7107-004,7107-NDX,7107004270,0,1,0,0,0,0,0,0,1802.672865,80323.99198
46,Polygon,4131015271,4131-015-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,2295,0,0,0,0,1978,1978,0,4131-015,4131-NDX,4131015271,0,1,0,0,0,0,0,0,499.580209,5114.259101
47,Polygon,7423016010,7423-016-010,0,<Null>,<Null>,010V,1,Residential,Single,20030929,2887704,"CLIFTON,JACOB K JR ET AL", ,MAIN ST,421 MAIN ST,SANTA ANA CA,92701,2013,6344,0,0,0,0,1975,1975,0,7423-016,7423-NDX,7423016010,0,0,0,0,0,0,0,4,585.702974,19480.2228
48,Polygon,7423009021,7423-009-021,0,<Null>,<Null>,010V,1,Residential,Single,19880818,1314160,"FORBES,GERTRUDE T TR", ,P O BOX 1724, P O BOX 1724,THOUSAND OAKS CA,91358,2013,3366,0,0,0,0,1975,1975,19880818,7423-009,7423-NDX,7423009021,0,0,0,0,0,0,0,1,438.920483,8479.48215
49,Polygon,7423017001,7423-017-001,0,<Null>,<Null>,010V,1,Residential,Single,20130507,684286,"SEKO,SUZANNE S CO TR", ,246TH PL,445 E 246TH PL,CARSON CA,90745-6534,2013,42387,0,0,0,0,1975,1975,0,7423-017,7423-NDX,7423017001,0,0,0,0,0,0,0,1,510.719156,15500.1101
50,Polygon,7107009270,7107-009-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19611229,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,35072,0,0,0,0,1978,1978,0,7107-009,7107-NDX,7107009270,0,1,0,0,0,0,0,0,451.283355,12528.77145
51,Polygon,7423019015,7423-019-015,0,<Null>,<Null>,010V,1,Residential,Single,20050901,2115331,"CARRION,GILBERTO", ,3RD ST,679 W 3RD ST,SAN PEDRO CA,90731-2507,2013,170000,0,0,0,0,2006,2006,20050901,7423-019,7423-NDX,7423019015,0,0,0,0,0,0,0,1,437.087164,8429.94315
52,Polygon,7423019016,7423-019-016,0,<Null>,<Null>,010V,1,Residential,Single,20050901,2115331,"CARRION,GILBERTO", ,3RD ST,679 W 3RD ST,SAN PEDRO CA,90731-2507,2013,170000,0,0,0,0,2006,2006,20050901,7423-019,7423-NDX,7423019016,0,0,0,0,0,0,0,1,437.099021,8430.904501
53,Polygon,7423019017,7423-019-017,0,<Null>,<Null>,830V,83,Miscellaneous,Petroleum & Gas,20050901,2115331,"CARRION,GILBERTO", ,3RD ST,679 W 3RD ST,SAN PEDRO CA,90731-2507,2013,170000,0,0,0,0,2006,2006,20050901,7423-019,7423-NDX,7423019017,0,0,0,0,0,0,0,1,437.06721,8428.889199
54,Polygon,7423019018,7423-019-018,0,<Null>,<Null>,010V,1,Residential,Single,20050901,2115331,"CARRION,GILBERTO", ,3RD ST,679 W 3RD ST,SAN PEDRO CA,90731-2507,2013,170000,0,0,0,0,2006,2006,20050901,7423-019,7423-NDX,7423019018,0,0,0,0,0,0,0,1,437.087177,8431.19895
55,Polygon,7423016011,7423-016-011,0,<Null>,<Null>,100V,10,Commercial,Commercial,20030929,2887704,"CLIFTON,JACOB K JR ET AL", ,MAIN ST,421 MAIN ST,SANTA ANA CA,92701-4617,2013,73448,0,0,0,0,1975,1975,0,7423-016,7423-NDX,7423016011,0,0,0,0,0,0,0,2,966.287221,38981.92795
56,Polygon,4131018900,4131-018-900,236928,L A City Dept of Water & Power Ex at Acq,LADWP,8800,88,Government,Government Parcel,19670000,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE`,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,4131-018,4131-NDX,4131018900,0,1,0,0,0,0,0,0,685.488092,9603.007401
57,Polygon,7423017023,7423-017-023,0,<Null>,<Null>,830V,83,Miscellaneous,Petroleum & Gas,20031218,3816879,TOMAS GONZALEZ FAMILY L P, ,PALO VISTA DR,3442 PALO VISTA DR,RANCHO PALOS VERDES CA,90275-6158,2013,417727,0,0,0,0,2004,2004,20031218,7423-017,7423-NDX,7423017023,0,0,0,0,0,0,0,5,973.659991,40022.18561
58,Polygon,7423008012,7423-008-012,0,<Null>,<Null>,109,1,Residential,Single,19941212,2200780,"TAIX,RAYMOND M AND TONI R ET AL", ,CALIFORNIA BLVD,3586 E CALIFORNIA BLVD,PASADENA CA,91107-5653,2013,14649,3160,0,0,0,1980,1980,19790823,7423-008,7423-NDX,7423008012,0,0,0,0,0,0,0,2,438.973494,8477.076562
59,Polygon,7423017007,7423-017-007,0,<Null>,<Null>,830V,83,Miscellaneous,Petroleum & Gas,20130115,72511,"CHASTIAN,ELIZABETH TR", ,PO BOX 757, PO BOX 757,MORRO BAY CA,93443-0757,2013,21077,0,0,0,0,1975,1975,19870112,7423-017,7423-NDX,7423017007,0,0,0,0,0,0,0,1,430.022841,7897.046001
60,Polygon,7423008013,7423-008-013,0,<Null>,<Null>,010V,1,Residential,Single,19941212,2200780,"TAIX,RAYMOND M AND TONI R ET AL", ,CALIFORNIA BLVD,3586 E CALIFORNIA BLVD,PASADENA CA,91107-5653,2013,14649,0,0,0,0,1980,1980,19790823,7423-008,7423-NDX,7423008013,0,0,0,0,0,0,0,2,438.973494,8476.0725
61,Polygon,7423019014,7423-019-014,0,<Null>,<Null>,401,4,Residential,Four Units (Any Combination),20101210,1828705,"CORPUZ,SAMUEL A TR", ,256TH ST,2453 W 256TH ST,LOMITA CA,90717,2013,107692,383939,0,0,0,1980,1980,19790517,7423-019,7423-NDX,7423019014,0,0,0,0,0,0,0,1,437.097779,8430.87305
62,Polygon,7423017006,7423-017-006,0,<Null>,<Null>,010V,1,Residential,Single,20130115,72511,"CHASTIAN,ELIZABETH TR", ,PO BOX 757, PO BOX 757,MORRO BAY CA,93443-0757,2013,3366,0,0,0,0,1975,1975,19870112,7423-017,7423-NDX,7423017006,0,0,0,0,0,0,0,1,430.032193,7897.078249
63,Polygon,4131025272,4131-025-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,10215,0,0,0,0,1978,1978,0,4131-025,4131-NDX,4131025272,0,1,0,0,0,0,0,0,1613.947104,20971.3636
64,Polygon,7423011013,7423-011-013,0,<Null>,<Null>,100V,10,Commercial,Commercial,20120831,1313098,"CHI,HONG CHIANG CO TR", ,DOROTHEA RD,517 DOROTHEA RD,LA HABRA HEIGHTS CA,90631-8302,2013,62402,0,0,0,0,2000,2000,19991027,7423-011,7423-NDX,7423011013,0,0,0,0,0,0,1,0,424.037094,7756.335151
65,Polygon,6108007900,6108-007-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19590918,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6108-007,6108-NDX,6108007900,0,0,1,0,0,0,0,0,35.82006,43.65
66,Polygon,4260039900,4260-039-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,4260-039,4260-NDX,4260039900,0,0,1,0,0,0,0,0,154.940487,182.19325
67,Polygon,6089001272,6089-001-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,108171,0,0,0,0,1978,1978,0,6089-001,6089-NDX,6089001272,0,1,0,0,0,0,0,0,773.438419,26743.9862
68,Polygon,6089008270,6089-008-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,92371,0,0,0,0,1978,1978,0,6089-008,6089-NDX,6089008270,0,1,0,0,0,0,0,0,730.207719,26315.8693
