APN,Registered Date,Property Type,Property Address,Zip Code,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone,compiled_address,compiled_lat,compiled_lng
5402006031,01/02/2015,Multi-Family,659 N LA FAYETTE PARK PL ,90026,13,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90026, CA",34.07874298095703,-118.26375579833984
5538016002,01/02/2015,Single Family,712 N EDGEMONT ST ,90029,13,BANK OF NEW YORK MELLON AS TRUSTEE C/O SELECT PORTFOLIO SERVICING,CODE VIOLATION,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90029, CA",34.08976745605469,-118.29460144042969
5213032070,01/02/2015,Single Family,4760 E TEMPLETON ST ,90032,14,SETERUS INC,Preservation Compliance,866-570-5277,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"90032, CA",34.080570220947266,-118.17868041992188
2582008004,01/02/2015,Single Family,13760 W ALMETZ ST ,91342,7,"Wilmington Trust Co, as Trustee, c/o Select Portfolio Servicing",Code Violation,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"91342, CA",34.347469329833984,-118.35269165039062
5081013007,01/02/2015,Multi-Family,1239 S 4TH AVE ,90019,10,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90019, CA",34.048606872558594,-118.33881378173828
4211032082,01/02/2015,Single Family,6020 S SEABLUFF DR ,90094,11,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"90094, CA",33.975948333740234,-118.41697692871094
7413012950,01/02/2015,Single Family,1060 W HARBOR HEIGHTS DR ,90710,15,Bank of America,Joan Duffy,818-285-5230,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90710, CA",33.798213958740234,-118.29917907714844
6072007007,01/02/2015,Multi-Family,11517 S STANFORD AVE ,90059,15,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"90059, CA",33.925472259521484,-118.24986267089844
2245027038,01/02/2015,Multi-Family,14151 W BURBANK BLVD ,91401,4,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91401, CA",34.17808151245117,-118.4315185546875
2343020014,01/02/2015,Single Family,5873 N HILLVIEW PARK AVE ,91401,2,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91401, CA",34.17808151245117,-118.4315185546875
2127002013,01/02/2015,Single Family,6452 N GEYSER AVE ,91335,3,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91335, CA",34.20128631591797,-118.54069519042969
7462006019,01/02/2015,Single Family,566 W 18TH ST ,90731,15,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"90731, CA",33.741397857666016,-118.27884674072266
4308015014,01/02/2015,Single Family,2705 S KRIM DR ,90064,5,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90064, CA",34.03719711303711,-118.42424774169922
2151037040,01/02/2015,Single Family,20866 W CLARK ST ,91367,3,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91367, CA",34.176387786865234,-118.61597442626953
2368004074,01/02/2015,Non-Residential,12021 GUERIN ST ,91604,2,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"91604, CA",34.13962936401367,-118.3932113647461
4235012043,01/02/2015,Single Family,12515 W PACIFIC AVE ,90066,11,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90066, CA",34.00196075439453,-118.43120574951172
6033004044,01/02/2015,Single Family,1335 W 84TH ST ,90044,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90044, CA",33.95302963256836,-118.29151153564453
7439026168,01/02/2015,Single Family,1415 W LOMITA BLVD ,90710,15,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405,909-289-1453,"90710, CA",33.798213958740234,-118.29917907714844
2172026031,01/02/2015,Single Family,4170 N SALTILLO ST ,91364,3,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202,"91364, CA",34.15509033203125,-118.5953369140625
5477015026,01/02/2015,Single Family,1044 N DEXTER ST ,90042,1,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90042, CA",34.11512756347656,-118.19194793701172
6039011012,01/02/2015,Single Family,520 W 94TH ST ,90044,8,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"90044, CA",33.95302963256836,-118.29151153564453
2608019004,01/02/2015,Single Family,17125 W SUNDERLAND DR ,91344,12,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91344, CA",34.29195785522461,-118.50615692138672
2218013006,01/02/2015,Single Family,14833 W VALERIO ST ,91405,6,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91405, CA",34.20113754272461,-118.44793701171875
5524018001,01/02/2015,Single Family,634 N HIGHLAND AVE ,90004,4,BANK OF NEW YORK MELLON AS TRUSTEE C/O SELECT PORTFOLIO SERVICING,CODE VIOLATION,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90004, CA",34.07624053955078,-118.31137084960938
2604009041,01/02/2015,Single Family,15828 W LARKSPUR ST ,91342,7,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91342, CA",34.347469329833984,-118.35269165039062
5221030006,01/02/2015,Single Family,5075 E BOHLIG ROAD ,90032,14,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90032, CA",34.080570220947266,-118.17868041992188
2104013005,01/02/2015,Multi-Family,18936 W KESWICK ST ,91335,3,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91335, CA",34.20128631591797,-118.54069519042969
5216010027,01/02/2015,Single Family,2579 N LOMBARDY BLVD ,90032,14,"RMBS REO HOLDINGS LLC AS TRUSTEE, C/O SELECT PORTFOLIO SERVICING",CODE VIOLATIONS,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90032, CA",34.080570220947266,-118.17868041992188
6069006015,01/02/2015,Single Family,1822 E 109TH ST ,90059,15,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90059, CA",33.925472259521484,-118.24986267089844
5462013080,01/02/2015,Single Family,3443 LOMA LADA DR ,90065,1,BANK OF NEW YORK MELLON AS TRUSTEE C/O SELECT PORTFOLIO SERVICING,CODE VIOLATION,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90065, CA",34.10940933227539,-118.22795104980469
5071012041,01/02/2015,Multi-Family,4500 W SATURN ,90019,10,"Wells Fargo Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90019, CA",34.048606872558594,-118.33881378173828
6061031008,01/02/2015,Single Family,434 W 105TH ST ,90003,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90003, CA",33.96413803100586,-118.27391815185547
5535002022,01/02/2015,Multi-Family,717 N RIDGEWOOD PL ,90038,13,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90038, CA",34.088958740234375,-118.3266830444336
2215004086,01/02/2015,Single Family,7447 N WOODMAN AVE ,91405,2,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"91405, CA",34.20113754272461,-118.44793701171875
6033018017,01/02/2015,Single Family,1130 W 81ST ST ,90044,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90044, CA",33.95302963256836,-118.29151153564453
5556031022,01/02/2015,Single Family,1646 N WOODS DR ,90069,4,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"90069, CA",34.09434127807617,-118.38148498535156
6050032011,01/02/2015,Single Family,854 E CENTURY BLVD ,90002,8,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"90002, CA",33.948917388916016,-118.24713134765625
5052025017,01/02/2015,Single Family,2110 W 30TH ST ,90018,10,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90018, CA",34.02804183959961,-118.31771087646484
2508012013,01/02/2015,Single Family,14144 W SAYRE ST ,91342,7,Caliber Home Loans,Kandyce Hughes,214-874-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"91342, CA",34.347469329833984,-118.35269165039062
2130027034,01/02/2015,Single Family,19350 W SHERMAN WAY ,91335,3,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91335, CA",34.20128631591797,-118.54069519042969
5128002016,01/02/2015,Multi-Family,234 E 27TH ST ,90011,9,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90011, CA",34.00749206542969,-118.25874328613281
2102026100,01/02/2015,Single Family,8105 N CANBY AVE ,91335,12,Bank of America,Chad McLean,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"91335, CA",34.20128631591797,-118.54069519042969
6016021026,01/02/2015,Single Family,2028 W 67TH ST ,90047,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90047, CA",33.953941345214844,-118.30876922607422
5303005016,01/02/2015,Multi-Family,4425 N BERENICE AVE ,90031,1,PNC MORTGAGE PRESALE,JENNIFER SMITH,937-910-1887,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90031, CA",34.08000946044922,-118.21200561523438
2629003126,01/02/2015,Single Family,12665 N EAGLE ROCK WAY ,91331,6,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91331, CA",34.25545120239258,-118.4202880859375
6048035050,01/02/2015,Single Family,9722 S HOLMES AVE ,90002,15,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90002, CA",33.948917388916016,-118.24713134765625
2103019018,01/02/2015,Single Family,7812 N RHEA AVE ,91335,3,Nationstar Mortgage,Dawn Campos,888-456-0714,"NEW BEGINNING PROPERTIES, INC",JOSE CHAVEZ,445  W 34th ST  San Bernardino CA 92405,877-339-8202,"91335, CA",34.20128631591797,-118.54069519042969
5160020014,01/02/2015,Multi-Family,417 N BIXEL ST ,90026,1,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90026, CA",34.07874298095703,-118.26375579833984
2162019059,01/02/2015,Single Family,5403 NEWCASTLE ,91316,5,BAC HOME LOANS SERVICING,SAFEGUARD COMPLIANCE,800-852-8306,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"91316, CA",34.165252685546875,-118.51605224609375
2517005003,01/02/2015,Single Family,13878 W HUBBARD ST ,91342,7,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"91342, CA",34.347469329833984,-118.35269165039062
2106009029,01/02/2015,Single Family,7727 N LUBAO AVE ,91306,3,"Ocwen Loan Servicing, LLC",Reid Schermer,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677,949-612-0342,"91306, CA",34.210113525390625,-118.57591247558594
5471011016,01/02/2015,Single Family,817 N TERRACE ,90042,1,Los Angeles Federal Credit Union,Ruth Castro,818-242-8640,NULL,NULL,"",NULL,"90042, CA",34.11512756347656,-118.19194793701172
2509007039,01/02/2015,Single Family,13973 W HERRON ST ,91342,7,"Wilmington Trust Co, as Trustee, c/o Select Portfolio Servicing",Code Violation,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"91342, CA",34.347469329833984,-118.35269165039062
6033004002,01/02/2015,Multi-Family,1259 W 83RD PL ,90044,8,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90044, CA",33.95302963256836,-118.29151153564453
6050024008,01/02/2015,Single Family,628 E 97TH ST ,90002,8,PNC MORTGAGE PRESALE,JENNIFER SMITH,937-910-1887,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90002, CA",33.948917388916016,-118.24713134765625
5136016009,01/02/2015,Single Family,1119 S GRAND VIEW ST ,90006,1,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90006, CA",34.04802703857422,-118.29409790039062
2316027019,01/02/2015,Single Family,7313 N CAMELLIA AVE ,91605,2,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"91605, CA",34.207027435302734,-118.40074920654297
6035013001,01/02/2015,Single Family,2158 W 82ND ST ,90047,8,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Coldwell Banker - Philip Boroda,Philip Boroda,15490   VENTURA BLVD 100 SHERMAN OAKS CA 91403,818-728-3944,"90047, CA",33.953941345214844,-118.30876922607422
5219013005,01/02/2015,Single Family,3528 N CHADWICK DR ,90032,14,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90032, CA",34.080570220947266,-118.17868041992188
2723019155,01/02/2015,Single Family,10456 N BROOKE AVE ,91311,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405,909-289-1453,"91311, CA",34.28568649291992,-118.60453033447266
2162009068,01/02/2015,Single Family,5414 NEWCASTLE ,91316,5,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,445  W 34 ST  San Bernardino CA 92405,909-289-1453,"91316, CA",34.165252685546875,-118.51605224609375
5189004026,01/02/2015,Multi-Family,938 1 2 S CAMULOS ST ,90023,14,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90023, CA",34.02170181274414,-118.20044708251953
5090028032,01/02/2015,Single Family,837 S WINDSOR BLVD ,90005,4,"Wells Fargo Bank, N.A., as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"90005, CA",34.0600700378418,-118.30976867675781
5054007019,01/02/2015,Multi-Family,2929 S KENWOOD AVE ,90007,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90007, CA",34.02779006958008,-118.28510284423828
6071007007,01/02/2015,Single Family,745 1 2 E 111TH PL ,90059,8,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing",Code Violations,888-349-8964,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90059, CA",33.925472259521484,-118.24986267089844
4007022016,01/02/2015,Multi-Family,6219 1 2 S VAN NESS AVE ,90043,8,Bank of America,Chad McLean,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"90043, CA",33.98872375488281,-118.33509063720703
