row,Park Property,Sub-Park Name,Address,City,Zip,Rgn.,CD 1,CD 2,CD 3,Acreage,Sub Acreage,Board Report #,Acquisition Date,Thomas Guide,Former/Alternate Name,A.P.N.,Comments,Part ofÃ‰,compiled_address,compiled_lat,compiled_lng
31,* Sub-Park (Arroyo Seco Park),SAN PASQUAL PARK,934 N. SAN PASCUAL AVE.,,,M,14,,,,13.36,,,595-D3,,,,,"934 San Pascual Ave, Los Angeles, CA 90042, USA",34.1200353,-118.1699925
32,* Sub-Park (Arroyo Seco Park),HERMON DOG PARK,5566 VIA MARISOL,,,M,14,,,,2.21,,,595-D3,,,,,"5566 Via Marisol, Los Angeles, CA 90042, USA",34.1043559,-118.1860433
33,* Sub-Park (Arroyo Seco Park),HERMON PARK,5566 VIA MARISOL,,,M,14,,,,22.43,,,595-D3,,,,,"5566 Via Marisol, Los Angeles, CA 90042, USA",34.1043559,-118.1860433
34,ARTS DISTRICT PARK,,501 S. HEWITT ST.,,,M,14,,,0.5,,,,634-H5,,,,,"501 S Hewitt St, San Jacinto, CA 92583, USA",33.7834062,-116.9510624
35,ASCOT HILLS PARK,,4371 MULTNOMAH ST.,,,M,14,,,92.44,,,,635-D1,,,,,"4371 Multnomah St, Los Angeles, CA 90032, USA",34.0697121,-118.1897045
36,AVALON-SAN PEDRO  PARK,,4025 AVALON BLVD.,,,P,9,,,0.94,,,,674-D2,,5113-002-901,,,"4025 Avalon Blvd, Milton, FL 32583, USA",30.5834401,-87.0861907
37,AVERILL PARK,,1300 DODSON AVE.,,,P,15,,,10.75,,,,823-J6,,7560-023-900,,,"1300 Dodson Ave, Chattanooga, TN 37406, USA",35.0509796,-85.2616971
38,BALDWIN HILLS RECREATION CENTER,,5401 HIGHLIGHT PL.,,,W,10,,,10.87,,,,673-B1,,5047-014-900,,,"5401 Highlight Pl, Los Angeles, CA 90016, USA",34.0235109,-118.3642022
39,BANDINI CANYON PARK,,430 N. BANDINI ST.,,,P,15,,,4.97,,,,824-A4,,7447-008-901,,,"430 N Bandini St, San Pedro, CA 90731, USA",33.7466559,-118.2988803
40,BANNING PARK.,,1331 N. EUBANK AVE.,,,P,15,,,21.09,,,,794-F5,,7422-017-900,,,"1331 S Eubank Ave, Tatum, NM 88267, USA",33.2432205,-103.311489
41,BANNING HIGH SCHOOL POOL,,1450 N. AVALON BLVD.,,,P,15,,,0.5,,,,794-E4,,7422-009-913,Leased From LAUSD; RECREATION & Parks Owns the Pool,,"1450 N Avalon Blvd, Wilmington, CA 90744, USA",33.7922575,-118.2633774
42,BARNSDALL PARK,,4800 W. HOLLYWOOD BLVD.,,,M,13,,,14.59,,,,594-A4,,"5543-009-900, 902
5543-012-900
5543-010-900
5543-011-901",,,"4800 W Hollywood Blvd, Marana, AZ 85658, USA",32.4227527,-111.0720168
43,BARRINGTON RECREATION CENTER,,333 S. BARRINGTON AVE.,,,P,11,,,18.64,,,,631-H3,,4401-009-900,,,"333 S Barrington Ave, Los Angeles, CA 90049, USA",34.0613139,-118.4688748
44,* Sub-Park (Barrington Rec Ctr),BARRINGTON DOG PARK,333 S. BARRINGTON AVE.,,,P,11,,,,1.56,,,631-H3,,4401-009-900,,,"333 S Barrington Ave, Los Angeles, CA 90049, USA",34.0613139,-118.4688748
45,BEE CANYON PARK,,17301 SESNON BLVD.,,,V,12,,,22.21,,,,481-C4,,"2602-007-901
2602-006-900
2602-023-900",,,"17301 Sesnon Blvd, Granada Hills, CA 91344, USA",34.3074608,-118.5107971
46,BELL CANYON PARK ,,24544 W. BELL CANYON RD.,,,V,12,,,122.78,,,,529-C5,,2031-009-906,,,"E Bell Canyon Rd, Harrison, ID 83833, USA",47.4512254,-116.7337435
47,BELLAIRE AVENUE PARK,,7960 N. BELLAIRE AVE.,,,V,2,,,0.14,,,,532-E2,,,,,"7960 N Bellaire Ave, Muncie, IN 47303, USA",40.2263125,-85.3608239
48,BELLEVUE RECREATION CENTER,,826 N. LUCILLE AVE.,,,M,13,,,9.11,,,,594-B6,,"5427-018-900, 901",,,"826 N Lucille St, Harrison, AR 72601, USA",36.2380689,-93.1143638
49,BERNSON (HOLLEIGH) MEMORIAL PARK,,20500 W. SESNON BLVD.,,,V,12,,,12.51,,,,480-D6,,,,,"20500 Sesnon Blvd, Porter Ranch, CA 91326, USA",34.2935755,-118.5705223
50,BEVERLY GLEN PARK,,2448 N. ANGELO DR.                          ,,,W,5,,,85.74,,,,592-B2,,"4382-029-900, 903, 901
4379-014-903",,,"2448 Angelo Dr, Los Angeles, CA 90077, USA",34.1151083,-118.4440501
51,BOGDANOVICH (MARTIN J.) RECREATION CENTER,,1920 W. CUMBRE DR.,,,P,15,,,13.52,,,,823-H6,FORMERLY SAN PEDRO PARK,7561-025-902,Formerly San Pedro Park,,"1920 Cumbre Dr, San Pedro, CA 90732, USA",33.7300847,-118.319799
52,BOYAR (MAE) RECREATION CENTER,,23936 HIGHLANDER RD.,,,V,12,,,2.23,,,,529-E6,,2028-028-900,,,"23936 Highlander Rd, West Hills, CA 91307, USA",34.1958281,-118.6468573
53,BOYLE HEIGHTS  SPORTS CENTER,,933 S. MOTT ST.,,,M,14,,,8.48,,,,635-A6,,"5189-008-901, 908
5189-010-911, 920, 922, 924",,,"933 S Mott St, Los Angeles, CA 90023, USA",34.0321209,-118.21414
54,BRAND PARK,,15174 W. SAN FERNANDO MISSION BLVD.,,,V,7,,,17.71,,,,501-H2,,2664-003-903,,,"15174 W San Fernando Mission Blvd, Mission Hills, CA 91345, USA",34.276109,-118.4539192
55,BRANFORD PARK                   ,,13310 W. BRANFORD ST.,,,V,6,,,13.38,,,,502-D7,,2627-008-902,"Not sure of exact location of child care CENTER,  RECREATION CENTER, and park",,"13310 Branford St, Arleta, CA 91331, USA",34.232088,-118.422984
56,BRIARWOOD PARK,,461 ALMADEN COURT,,,V,5,,,10.75,,,,592-A2,,4382-029-902,,,"461 Almaden Ct, Winter Springs, FL 32708, USA",28.6961788,-81.2954261
57,BROADWAY PARK,,5207 S. BROADWAY,,,P,9,,,0.13,,,,674-C5,,,,,"5207 S Broadway, Rochester, MN 55902, USA",43.9482825,-92.4697736
58,BROWNS CREEK PARK,,BROWNS CANYON RD.,,,V,12,,,51.99,,,,480-B7,,"2701-002-901, 902, 903
2821-019-903",,Part of Porter Ranch,"Browns Canyon Rd, Peoa, UT 84061, USA",40.7212931,-111.388802
59,BUENA VISTA PARK,,S. E. CORNER OF WARNER BLVD. & CATALINA ST.,,,M,4,,,8.71,,,,563-F4,,,,,"Catalina Blvd & Warner St, San Diego, CA 92106, USA",32.716484,-117.247139
60,BUNDY TRIANGLE,,1500 S. BUNDY DR.,,,P,11,,,0.22,,,,631-H6,,,,,"1500 S Bundy Dr, Los Angeles, CA 90025, USA",34.0405635,-118.4632982
61,BURNS (ROBERT L.) PARK,,4900 W. BEVERLY BLVD.,,,M,4,,,1.68,,,,633-G1,,5516-007-900,,,"4900 W Beverly Blvd, Montebello, CA 90640, USA",34.0256342,-118.1427307
62,CABALLERO CREEK,,2450 S. TRINITY ST.,,,V,3,,,1.53,,,,674-E1,,,,,"2450 S Trinity St, Edna, TX 77957, USA",28.9689831,-96.6501214
63,CABRILLO BEACH,,3800 STEPHEN M. WHITE DR.,,,P,15,,,40.07,,,,854-C2,,,,,"3800 Stephen M White Dr, San Pedro, CA 90731, USA",33.709865,-118.283722
64,CAHUENGA PEAK PHASE I,,3698 W. WONDER VIEW DR.,,,M,4,,,120.91,,,,563-F6,,,,,"3698 Wonder View Dr, Los Angeles, CA 90068, USA",34.1341372,-118.3345588
65,CAHUENGA PEAK PHASE II,,3698 W. WONDER VIEW DR.,,,M,4,,,16.59,,,,563-F6,,,,,"3698 Wonder View Dr, Los Angeles, CA 90068, USA",34.1341372,-118.3345588
66,CAMPO DE CAHUENGA,,3919 N. LANKERSHIM BLVD.,,,V,4,,,0.73,,,,563-B6,,2423-037-900,,,"3919 Lankershim Blvd, Studio City, CA 91604, USA",34.1397607,-118.3623985
67,CANAL PARK,,401 LINNIE CANAL WALK,,,P,11,,,0.13,,,,671-H6,,4227-006-900,,,"401 Linnie Canal Ct, Venice, CA 90291, USA",33.9842121,-118.4662761
68,CANOGA PARK SENIOR CITIZEN CENTER,,7326 N. JORDAN AVE.,,,V,3,,,0.77,,,,530-A4,,"2111-013-900, 901, 902",,,"7326 N Jordan Ave, Portland, OR 97203, USA",45.5789093,-122.7205007
69,CAPLOW PROPERTY,,20856 MULHOLLAND DR.,,,V,3,,,16.96,,,,593-C2,,,,,"20856 Mulholland Dr, Woodland Hills, CA 91364, USA",34.1429669,-118.5861051
70,CARDENAS (ANDRES AND MARIA) RECREATION CENTER,,14740 W. BLYTHE ST.,,,V,6,,,0.7,,,,531-J3,,"2210-021-900, 901, 902",,,"14740 W Blythe St, Winnetka, CA 91306, USA",34.2146896,-118.5635375
71,CAREY RANCH PARK,,15035 W. CRESTKNOLL DR.,,,V,7,,,23.8,,,,481-H7,,"2611-034-901, 900
2611-030-903
2611-038-901, 900",,,"15035 Crestknoll Dr, Sylmar, CA 91342, USA",34.287693,-118.4597005
72,CARLTON WAY PARK,,5927 W. CARLTON WAY.,,,G,13,,,0.19,,,,593-G4,,,,,"5927 Carlton Way, Los Angeles, CA 90028, USA",34.100769,-118.318951
73,CARTHAY CIRCLE PARK,,6313 S. SAN VICENTE BLVD.,,,M,5,,,0.97,,,,633-A2,,"5088-014-022
5088-015-900
5088-018-901, 908, 904
5088-016-900",,,"6313 S San Vicente Blvd, Los Angeles, CA 90048, USA",34.0608237,-118.3673645
74,CASTLE PEAK PARK,,24220 W. CLARINGTON DR.,,,V,12,,,3.09,,,,529-D4,,2027-039-900,,,"24220 Clarington Dr, West Hills, CA 91304, USA",34.207865,-118.6529019
75,CENTRAL AVENUE JAZZ PARK,,4222 S. CENTRAL AVE.,,,P,9,,,0.19,,,,674-E3,CENTRAL AVE. POCKET PARK; RENAMED BY BOARD IN 2000,,,,"4222 S Central Ave, Petrolia, TX, USA",34.0074236,-98.225652
76,CENTRAL RECREATION CENTER,,1357 E. 22ND ST.                  ,,,P,9,,,1.45,,,,674-F1,,,,,"1357 E 22nd St, Tucson, AZ 85713, USA",32.2070237,-110.9513261
77,CHASE PARK,,22525 W. CHASE ST.,,,V,12,,,5.97,,,,529-H2,,,,,"22525 Chase St, West Hills, CA 91304, USA",34.2231458,-118.617937
78,CHATSWORTH AND DE SOTO,,10650 N. DE SOTO AVE.,,,V,12,,,1.6,,,,500-C3,,,,,"10650 De Soto Ave, Chatsworth, CA 91311, USA",34.264098,-118.587914
79,CHATSWORTH OAKS PARK,,9301 N. VALLEY CIRCLE BLVD.,,,V,12,,,2.9,,,,499-G6,,,,,"9301 Valley Cir Blvd, Chatsworth, CA 91311, USA",34.2397638,-118.6292005
80,"CHATSWORTH PARK, NORTH",,22300 W. CHATSWORTH ST.,,,V,12,,,24.15,,,,499-J3,,,,,"22300 Chatsworth St, Chatsworth, CA 91311, USA",34.2643641,-118.611365
81,"CHATSWORTH PARK, SOUTH",,22360 W. DEVONSHIRE ST.,,,V,12,,,73.07,,,,499-H3,,,,,"22360 W Devonshire St, Chatsworth, CA 91311, USA",34.2577333,-118.6142316
82,"* Sub-Park (Chatsworth Park, South)",MINNIE HILL PALMER HOUSE/HOMESTEAD ACRE,22360 DEVONSHIRE ST.,,,V,12,,,,1.54,,,499-H3,,,,,"22360 Devonshire St, Chatsworth, CA 91311, USA",34.2578285,-118.6143783
83,CHATSWORTH RESERVOIR SITE,,8751-9461 VALLEY CIRCLE BLVD.,,,V,12,,,149.54,,,,499-G7,,,,,"8751 Valley Cir Blvd, West Hills, CA 91304, USA",34.2291557,-118.645787
84,CHESTERFIELD SQUARE PARK,,1950 W. 54TH ST.,,,P,8,,,1.89,,,,673-H5,,,,,"1950 W 54th St, Los Angeles, CA 90062, USA",33.9932196,-118.312607
85,CHEVIOT HILLS PARK,,2551 S. MOTOR AVE.,,,W,5,,,40,,,,632-F5,,,,,"2551 Motor Ave, Los Angeles, CA 90064, USA",34.0449998,-118.4076926
86,   * Sub-Park (Cheviot Hills Park),RANCHO PARK GOLF COURSE,10460 W. PICO BLVD.,,,P,5,,,,140.14,,,632-E5,,,,,"10460 West Pico Boulevard, Los Angeles, CA 90064, USA",34.0453783,-118.4185855
87,CHEVY CHASE PARK,,4165 E. CHEVY CHASE DR.,,,M,13,,,2.44,,,,564-D6,,,,,"4165 E Chevy Chase Dr, Glendale, CA 91206, USA",34.180511,-118.1971223
88,CIRCLE PARK (5TH AVE.),,76TH ST. AT GRAMERCY PL,,,P,8,,,0.17,,,,703-G1,,,,,"Gramercy, LA, USA",30.0474239,-90.6898128
89,CIRCLE PARK (GRAMERCY),,1975 W. 76TH ST.                                ,,,P,8,,,0.17,,,,703-H1,,,,,"1975 W 76th St, Chicago, IL 60620, USA",41.7556778,-87.6728446
90,CITY HALL PARK,,200 N. SPRING ST.,,,M,14,,,1.71,,,,634-G3,,,,,"200 N Spring St, Sparta, TN 38583, USA",35.935445,-85.4741049
91,CLELAND AVENUE BICENTENNIAL PARK,,4800 E. CLELAND AVE.,,,M,1,,,0.92,,,,595-A2,,,,,"4800 Cleland Ave, Los Angeles, CA 90065, USA",34.112961,-118.212601
92,CLEVELAND HIGH SCHOOL POOL,,8120 N. VANALDEN AVE.,,,V,12,,,0.79,,,,530-G3,,,,,"8120 Vanalden Ave, Reseda, CA 91335, USA",34.2174,-118.5487594
93,CLUB CIRCLE PARK,,2890 CLUB DR. ,,,P,5,,,0.3,,,,632-F6,,,,,"2890 Club Dr, Lawrenceville, GA 30044, USA",33.9385446,-84.0906505
94,COHASSET-MELBA PARK,,7449 N. MELBA AVE.,,,V,12,,,2,,,,529-F4,INFORMALLY CALLED FOUR OAKS PARK,,,,"7449 Melba Ave, West Hills, CA 91307, USA",34.2052886,-118.6344343
95,COLDWATER CANYON PARK,,12601 N. MULHOLLAND DR.,,,V,2,,,41.16,,,,562-F7,,,,,"12601 N Mulholland Dr, Dalton Gardens, ID 83815, USA",47.7401644,-116.7567694
97,COMMUNITY BUILD YOUTH CENTER EXPANSION,,8742 & 8750 S. VERMONT AVE.,,,P,8,,,0.21,,,,704-A2,,,,,"8742 Vermont Ave, New Port Richey, FL 34653, USA",28.2578253,-82.7093874
98,CORBIN CANYON PARK,,CONCORD AVE & LOWELL AVE.,,,V,3,,,40.51,,,,560-E4,,,,,"Concord Ave & Lowell Ave, Los Angeles, CA 90032, USA",34.0797026,-118.1623681
99,COSTANSO FIRE STATION 84 PARK (formerly OLD FIRE STATION 84 POCKET PK),,5340 CANOGA AVE.,,,V,3,,,0.36,,,,560-B2,,,,,"5340 Canoga Ave, Woodland Hills, CA 91364, USA",34.1671594,-118.5973691
100,COUNTRY CLUB PARK HERITAGE PLAZA       (formerly WILTON PLACE PARK),,1015 S. WILTON PL.,,,W,10,,,0.08,,,,633-G4,,,,,"1015 S Wilton Pl, Los Angeles, CA 90019, USA",34.0522778,-118.3145491
101,CRESCENT PLACE TRIANGLE,,1646 S. CRESCENT PL.              ,,,P,11,,,0.02,,,,671-J5,,,,,"1646 S Crescent Ave, Park Ridge, IL 60068, USA",41.9896718,-87.8303585
102,CRESTWOOD HILLS PARK,,1000 N. HANLEY AVE.,,,P,11,,,15.78,,,,631-E1,,,,,"1000 N Hanley Rd, University City, MO 63130, USA",38.6665377,-90.3323147
103,CULVER/SLAUSON PARK,,5070 S. SLAUSON AVE.,,,P,11,,,3.27,,,,672-F5,,,,,"5070 S Slauson Ave, Los Angeles, CA 90230, USA",33.9936137,-118.4064761
104,CURTIS (ROLLAND) PARK,,1287 W. 38TH PLACE,,,P,8,,,0.09,,,,673-J2,,,,,"1287 W 38th Pl, Hobart, IN 46342, USA",41.5482264,-87.2762791
105,CYPRESS PARK LIBRARY,,3320 E. PEPPER AVE.,,,M,1,,,0.18,,,,594-J5,,,,,"3320 Pepper Ave, Los Angeles, CA 90065, USA",34.0909949,-118.2226555
106,CYPRESS RECREATION CENTER,,2630 E. PEPPER AVE.,,,M,1,,,3.49,,,,594-J5,,,,,"2630 Pepper Ave, Los Angeles, CA 90065, USA",34.0895554,-118.2253108
107,DANIELS (RALPH C.) FIELD SPORTS CENTER,,845 W. 12TH ST.,,,P,15,,,3.59,,,,824-B6,,,,,"845 W 12th St, Baxter Springs, KS 66713, USA",37.0240787,-94.7449503
108,DECKER CANYON CAMP,,3133 S. DECKER CANYON RD,,,,NA,,,18.46,,,,626-C5,,,,,"3133 Decker Rd, Malibu, CA 90265, USA",34.0606484,-118.8971348
109,DE GARMO PARK,,10145 W. ARMINTA ST.,,,V,2,,,1.64,,,,533-B2,FORMERLY THE BURBANK WESTERN SYSTEM CHANNEL OF THE L. A. COUNTY FLOOD CONTROL DIST.,,,,"10145 Arminta St, Sun Valley, CA 91352, USA",34.2144963,-118.3525144
110,DE LONGPRE PARK,,1350 N. CHEROKEE AVE.,,,M,4,,,1.37,,,,593-E5,,,,,"1350 N Cherokee Ave, Dothan, AL 36303, USA",31.2444286,-85.4172752
111,DE NEVE SQUARE PARK,,314 S. BEVERLY GLEN BLVD.,,,P,5,,,0.61,,,,592-C7,,,,,"314 S Beverly Glen Blvd, Los Angeles, CA 90024, USA",34.0771575,-118.4326222
112,DEARBORN PARK,,17141 W. NORDHOFF ST.,,,V,12,,,9.12,,,,501-C7,,,,,"17141 Nordhoff St, Northridge, CA 91325, USA",34.2357977,-118.5069308
113,DEBS (ERNEST E.) REGIONAL PARK,,4235 N. MONTEREY RD.,,,M,1,14,,318.62,,,,595-C4,,,,,"4235 N Monterey Rd, Avon Park, FL 33825, USA",27.6295492,-81.5620596
114,* Sub-Park (DEBS (ERNEST E.) Reg Pk),ROSE HILL PARK,3606 N. BOUNDARY AVE.,,,M,14,,,,25.83,,,595-C6,,,,,"3606 N Boundary Ave, Proctor, MN 55810, USA",46.751561,-92.2170082
115,DEERVALE - STONE CANYON PARK,,14890 VALLEY VISTA BLVD.,,,V,4,,,79.4,,,,561-J6,,,,,"14890 Valley Vista Blvd, Sherman Oaks, CA 91403, USA",34.1468313,-118.4592346
116,DEL REY LAGOON,,6660 S. ESPLANADE PL.,,,W,11,,,10.99,,,,702-A3,,,,,"6660 S Esplanade St, Orange, CA 92869, USA",33.790967,-117.8096113
117,DELANO RECREATION CENTER,,15100 W. ERWIN ST.,,,V,6,,,4.45,,,,531-H7,,,,,"Erwin St, Duquesne, PA 15110, USA",40.3727762,-79.8541543
118,DENKER AND TORRANCE POCKET PARK,,1490 W. TORRANCE BLVD.,,,P,15,,,0.15,,,,763-J5,,,,,"1490 Torrance Blvd, Torrance, CA 90501, USA",33.841633,-118.30361
119,DENKER RECREATION CENTER ,,1550 W. 35TH PLACE,,,P,8,,,2.81,,,,673-J1,,,,,"1550 W 35th Pl, Los Angeles, CA 90018, USA",34.02352,-118.3042856
120,DEVONSHIRE/ARLETA PARK,,14215 W. DEVONSHIRE ST.,,,V,6,,,1.82,,,,502-A4,,,,,"14215 W Devonshire St, Chatsworth, CA 91311, USA",34.2572591,-118.6125235
121,DEVONWOOD PARK,,10230 N. WOODMAN AVE.,,,V,7,,,4.84,,,,501-J4,,,,,"10230 Woodman Ave, Mission Hills, CA 91345, USA",34.2574816,-118.4542344
122,DIXON (JULIAN C.) PARK,,4800 S. HOOVER ST.,,,P,9,,,0.96,,,,674-B4,,,,,"4800 S Hoover St, Los Angeles, CA 90037, USA",33.999626,-118.2870959
123,DOCKWEILER (ISIDORE B.) STATE BEACH,,8255 S. VISTA DEL MAR,,,P,11,,,228.31,,,,702-B5,,,,,"8255 N Del Mar Ave, Fresno, CA 93711, USA",36.855817,-119.794765
124,DOWNEY RECREATION CENTER,,1772 N. SPRING ST.,,,M,1,,,4.52,,,,634-J1,,,,,"1772 N Spring St, Beaver Dam, WI 53916, USA",43.4806392,-88.8205115
125,* Sub-Park (Downey Rec Ctr),DOWNEY POOL,1775 N. SPRING ST.,,,M,1,,,,1.04,,,634-J1,,,,,"1775 N Spring St, Beaver Dam, WI 53916, USA",43.4815444,-88.8198288
126,DREW ST.,,3304 N. DREW ST.,,,G,13,,,0.11,,,,594-G-1,,,,,"3304 N Drew St, Appleton, WI 54911, USA",44.2900773,-88.4000415
127,DRUM BARRACKS  CIVIL WAR MUSEUM,,1052 N. BANNING BLVD.,,,P,15,,,0.54,,,,794-F6,,,,,"1052 N Banning Blvd, Wilmington, CA 90744, USA",33.7844404,-118.2575572
128,* Sub-Park (Drum Barracks Civil War Museum)         (expansion-banning lots),"DBCWM ""Warren Property Addition"" (Unofficial Name)",1037-1041 N. BANNING BLVD. ,,,P,15,,,0.39,,,,794-F6,,,,,"1041 N Banning Blvd, Wilmington, CA 90744, USA",33.7844088,-118.2582565
129,E STREET,,121 E. E STREET,,,,15,,,0.11,,,,794-E7,,,,,"121 East E Street, North Platte, NE 69101, USA",41.1298335,-100.763756
130,EAGLE ROCK CITY HALL,,2035 W. COLORAD0 BLVD.,,,M,14,,,0.32,,,,565-A6,,,,,"2035 W Colorado Blvd, Dallas, TX 75208, USA",32.7602035,-96.8561824
132,EAGLE ROCK HISTORICAL LANDMARK,,701-717 W. EAGLE ROCK VIEW DR.,,,M,14,,,2.17,,,,565-D5,,,,,"701 Eastview Dr, Los Angeles, CA 90042, USA",34.1257245,-118.183468
133,EAGLE ROCK RECREATION CENTER,,1100 W. EAGLE VISTA DR.,,,M,14,,,20.68,,,,565-D5,,,,,"1100 Eagle Vista Dr, Los Angeles, CA 90041, USA",34.1426646,-118.1891838
