DISTRICT,AIN,ASSESSED VALUE,ADDRESS,FIRST_OWNER_NAME,,compiled_address,compiled_lat,compiled_lng
12,2028011901,"$20,489",0         0,L A CITY,"","0, 0",0,0
12,2028028900,"$66,344",0         0,L A CITY,"","0, 0",0,0
12,2031008902,"$44,185",0         0,L A CITY EX AT ACQ,"","0, 0",0,0
12,2031008903,"$2,456",0         0,L A CITY EX OF ACQ,"","0, 0",0,0
12,2031008904,"$6,512",0         0,L A CITY PARK,"","0, 0",0,0
12,2031008905,"$3,090",0         0,L A CITY PARK,"","0, 0",0,0
12,2031009904,"$1,017,485",0         0,L A CITY PARK,"","0, 0",0,0
12,2031009905,"$42,971",0         0,L A CITY PARK,"","0, 0",0,0
12,2031009906,"$4,653",0         0,L A CITY PARK,"","0, 0",0,0
12,2031012901,"$674,591",0         0,L A CITY PARK,"","0, 0",0,0
12,2031015903,$378,0         0,L A CITY DEPT OF WATER AND,"","0, 0",0,0
12,2031025900,"$87,018",0         0,L A CITY,"","0, 0",0,0
12,2031025901,"$26,603",0         0,L A CITY,"","0, 0",0,0
12,2032002900,"$2,921,041",0         0,L A CITY,"","0, 0",0,0
12,2032002901,"$23,435",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2032002904,$0,0         0,L A CITY,"","0, 0",0,0
3,2032030900,"$1,839",0         0,L A CITY,"","0, 0",0,0
3,2032030901,$10,0         0,L A CITY,"","0, 0",0,0
12,2033010901,"$35,348",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2033021900,"$9,087",0         0,L A CITY,"","0, 0",0,0
3,2033022901,"$22,027",0         0,L A CITY,"","0, 0",0,0
3,2035007900,"$61,606",0         0,L A CITY S BY S,"","0, 0",0,0
3,2035008901,"$99,265",0         0,L A CITY,"","0, 0",0,0
3,2039007900,"$15,364",0         0,L A CITY,"","0, 0",0,0
3,2040006901,$124,0         0,L A CITY,"","0, 0",0,0
3,2040006902,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2040010900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2040030900,"$152,414",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2041016901,"$2,042",0         0,L A CITY,"","0, 0",0,0
3,2044001905,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2044016900,$124,0         0,L A CITY,"","0, 0",0,0
3,2044016901,$124,0         0,L A CITY,"","0, 0",0,0
3,2044016902,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2044020905,"$2,427",0         0,L A CITY,"","0, 0",0,0
3,2046012900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2074033900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2074033901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2074033902,$9,0         0,L A CITY S BY S,"","0, 0",0,0
3,2075001900,"$25,739",0         0,L A CITY,"","0, 0",0,0
3,2075001901,"$29,454",0         0,L A CITY,"","0, 0",0,0
3,2075001902,"$148,573",0         0,L A CITY,"","0, 0",0,0
3,2075001903,"$42,776",0         0,L A CITY,"","0, 0",0,0
3,2076003900,$634,0         0,L A CITY S BY S,"","0, 0",0,0
3,2076010900,"$5,777",0         0,L A CITY,"","0, 0",0,0
3,2076020900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2076023900,"$23,690",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
12,2102003900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
12,2102006900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
12,2102016900,$10,0         0,L A CITY,"","0, 0",0,0
12,2103006902,$0,0         0,L A CITY S BY S,"","0, 0",0,0
12,2103007900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
12,2103011901,"$32,018",0         0,L A CITY,"","0, 0",0,0
3,2103011902,"$9,087",0         0,L A CITY,"","0, 0",0,0
3,2103012901,"$16,517",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2103013901,"$39,060",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2103013906,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2103015903,"$94,140",0         0,L A CITY S BY S,"","0, 0",0,0
3,2103022905,$11,0         0,L A CITY S BY S,"","0, 0",0,0
3,2104004904,"$50,463",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2104005900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2104012901,$249,0         0,L A CITY S BY S,"","0, 0",0,0
3,2105017900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2105017901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2105018900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2105018905,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2105018906,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2105018908,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2106011900,$20,0         0,L A CITY,"","0, 0",0,0
3,2106011901,$20,0         0,L A CITY,"","0, 0",0,0
3,2107014900,$249,0         0,L A CITY S BY S,"","0, 0",0,0
3,2108001902,$249,0         0,L A CITY S BY S,"","0, 0",0,0
3,2108001908,$249,0         0,L A CITY S BY S,"","0, 0",0,0
3,2108001914,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2110002900,"$435,504",0         0,L A CITY,"","0, 0",0,0
3,2110016901,"$324,046",0         0,L A CITY,"","0, 0",0,0
3,2111006900,"$126,805",0         0,L A CITY,"","0, 0",0,0
3,2111013902,"$15,961",0         0,L A CITY,"","0, 0",0,0
3,2111019901,"$79,411",0         0,L A CITY,"","0, 0",0,0
3,2111019902,"$64,041",0         0,L A CITY,"","0, 0",0,0
3,2111019903,$0,0         0,COMMUNITY REDEVELOPMENT AGENCY,"","0, 0",0,0
3,2111019904,$0,0         0,L A CITY,"","0, 0",0,0
3,2111020900,"$21,641",0         0,L A CITY,"","0, 0",0,0
3,2111025900,"$18,438",0         0,L A CITY,"","0, 0",0,0
3,2111025901,"$20,742",0         0,L A CITY,"","0, 0",0,0
3,2111026900,"$33,298",0         0,L A CITY S BY S,"","0, 0",0,0
3,2111026902,"$20,489",0         0,L A CITY,"","0, 0",0,0
3,2111027900,"$25,613",0         0,L A CITY S BY S,"","0, 0",0,0
3,2111029901,$0,0         0,LACMTA,"","0, 0",0,0
3,2111029905,$0,0         0,LACMTA,"","0, 0",0,0
3,2111029906,$0,0         0,COMMUNITY REDEVELOPMENT AGENCY,"","0, 0",0,0
3,2112001904,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2112012900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2112026900,"$149,861",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2113015904,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2113015905,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2114002900,$124,0         0,L A CITY,"","0, 0",0,0
3,2114012900,"$330,469",0         0,L A CITY,"","0, 0",0,0
3,2114017900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2116018900,"$47,003",0         0,L A CITY,"","0, 0",0,0
3,2118001901,"$70,571",0         0,L A CITY,"","0, 0",0,0
3,2118014900,"$265,200",0         0,L A CITY,"","0, 0",0,0
3,2118014901,"$140,078",0         0,L A CITY,"","0, 0",0,0
3,2118024909,$0,0         0,L A CITY,"","0, 0",0,0
3,2118024910,$0,0         0,L A CITY,"","0, 0",0,0
3,2118029900,"$81,971",0         0,L A CITY,"","0, 0",0,0
3,2118029901,"$17,287",0         0,L A CITY,"","0, 0",0,0
3,2118029902,"$17,287",0         0,L A CITY,"","0, 0",0,0
3,2121018901,$104,0         0,L A CITY,"","0, 0",0,0
3,2121023901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2122015900,"$379,860",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2122023900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2122023901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
5,2123027900,$124,0         0,L A CITY,"","0, 0",0,0
5,2123029901,$0,0         0,L A CITY,"","0, 0",0,0
5,2123030901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
5,2123032901,$0,0         0,LACMTA,"","0, 0",0,0
3,2124001902,"$1,887,225",0         0,L A CITY,"","0, 0",0,0
3,2124014901,$0,0         0,LACMTA,"","0, 0",0,0
3,2124014902,$0,0         0,LACMTA,"","0, 0",0,0
3,2124014903,$0,0         0,LACMTA,"","0, 0",0,0
3,2124018905,"$71,725",0         0,L A CITY,"","0, 0",0,0
3,2125001900,"$74,286",0         0,L A CITY,"","0, 0",0,0
3,2125003900,"$102,467",0         0,L A CITY PARKING AUTHORITY,"","0, 0",0,0
3,2125036903,"$713,471",0         0,CRA LA,"","0, 0",0,0
3,2126001901,"$25,613",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2126007900,"$60,197",0         0,L A CITY,"","0, 0",0,0
3,2126014900,"$42,263",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2126015902,"$37,908",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2126028902,"$30,101",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2126029902,$0,0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2126037904,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2127001901,"$131,927",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2127001904,$0,0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2127002900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2127013902,"$43,802",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2127014900,"$105,029",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2127015900,$9,0         0,L A CITY,"","0, 0",0,0
3,2127017901,"$94,780",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2127018902,$0,0         0,LACMTA,"","0, 0",0,0
3,2127018905,$0,0         0,LACMTA,"","0, 0",0,0
3,2127018906,$0,0         0,LACMTA,"","0, 0",0,0
3,2127021900,"$97,344",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2128001901,$124,0         0,L A CITY,"","0, 0",0,0
3,2128001902,$124,0         0,L A CITY,"","0, 0",0,0
3,2128015901,$0,0         0,LACMTA,"","0, 0",0,0
3,2129006900,$124,0         0,L A CITY,"","0, 0",0,0
3,2129006901,$124,0         0,L A CITY,"","0, 0",0,0
3,2129021901,"$537,979",0         0,L A CITY DEPT OF  PARKS AND,"","0, 0",0,0
3,2129021906,$0,0         0,L A CITY,"","0, 0",0,0
3,2129021908,$0,0         0,L A CITY DEPT OF  PARKS AND,"","0, 0",0,0
3,2130027900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2130029900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2130030900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2131023900,$0,0         0,LACMTA,"","0, 0",0,0
3,2131025900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2131026900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2132022900,$0,0         0,LACMTA,"","0, 0",0,0
3,2132022902,$0,0         0,LACMTA,"","0, 0",0,0
3,2134023901,$0,0         0,LACMTA,"","0, 0",0,0
3,2134026900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2134026901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2134033900,$0,0         0,LACMTA,"","0, 0",0,0
3,2134034900,$0,0         0,LACMTA,"","0, 0",0,0
3,2134036900,"$5,374",0         0,L A CITY,"","0, 0",0,0
3,2134036902,$0,0         0,LACMTA,"","0, 0",0,0
3,2134040900,"$44,825",0         0,L A CITY,"","0, 0",0,0
3,2134041900,"$4,605",0         0,L A CITY,"","0, 0",0,0
3,2135014904,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2135025901,$890,0         0,L A CITY S BY S,"","0, 0",0,0
3,2137019903,"$232,032",0         0,L A CITY,"","0, 0",0,0
3,2137019904,"$189,425",0         0,L A CITY,"","0, 0",0,0
3,2137019905,"$185,711",0         0,L A CITY,"","0, 0",0,0
3,2137019906,"$74,388",0         0,L A CITY,"","0, 0",0,0
3,2137019907,"$173,400",0         0,L A CITY,"","0, 0",0,0
3,2137020901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2137020902,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2138014904,$0,0         0,LACMTA,"","0, 0",0,0
3,2138014905,$0,0         0,LACMTA,"","0, 0",0,0
3,2138014906,$0,0         0,LACMTA,"","0, 0",0,0
3,2138029900,"$22,412",0         0,L A CITY FIRE DEPT,"","0, 0",0,0
3,2146006900,"$769,824",0         0,L A CITY,"","0, 0",0,0
3,2146006901,"$66,858",0         0,L A CITY,"","0, 0",0,0
3,2146009901,"$879,981",0         0,L A CITY,"","0, 0",0,0
3,2146011902,$378,0         0,L A CITY S BY S,"","0, 0",0,0
3,2148007900,"$5,885",0         0,L A CITY S BY S,"","0, 0",0,0
3,2148007901,"$2,172",0         0,L A CITY S BY S,"","0, 0",0,0
3,2148024900,"$16,644",0         0,L A CITY S BY S,"","0, 0",0,0
3,2148029901,"$539,260",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2149016904,"$2,222,000",0         0,CITY OF LOS ANGELES,"","0, 0",0,0
3,2151037901,"$9,215",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2156006902,"$285,619",0         0,L A CITY,"","0, 0",0,0
3,2156019905,"$256,177",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2156020900,"$35,986",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2156021903,"$32,018",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2156022900,"$80,052",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2156024900,"$47,003",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2157011901,$0,0         0,L A CITY S BY S,"","0, 0",0,0
3,2160002900,"$158,818",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2160002902,"$26,638",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2160013906,"$138,324",0         0,L A CITY,"","0, 0",0,0
3,2160013907,"$100,000",0         0,L A CITY,"","0, 0",0,0
3,2160016902,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2161003907,"$316,360",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2161003908,"$165,223",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2161004907,"$89,274",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2161012901,$10,0         0,L A CITY,"","0, 0",0,0
3,2161012905,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2161013901,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2161017900,"$3,431",0         0,L A CITY,"","0, 0",0,0
5,2162016901,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2163016900,"$194,683",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2163020900,"$110,019",0         0,L A CITY,"","0, 0",0,0
3,2163022900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2163022901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2163022902,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2163022903,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2163023901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2163023902,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2163024900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2164006900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2164007903,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2166010900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2167001900,"$320,204",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2167001901,"$32,657",0         0,L A CITY,"","0, 0",0,0
3,2167002900,"$16,006",0         0,L A CITY,"","0, 0",0,0
3,2169003900,"$28,400",0         0,L A CITY,"","0, 0",0,0
3,2169003901,"$56,803",0         0,L A CITY,"","0, 0",0,0
3,2169003902,"$85,206",0         0,L A CITY,"","0, 0",0,0
3,2173002900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2173007900,"$2,810",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2173015900,"$130,801",0         0,L A CITY PARK,"","0, 0",0,0
3,2173015901,"$142,176",0         0,L A CITY PARK,"","0, 0",0,0
3,2174011900,"$106,053",0         0,L A CITY,"","0, 0",0,0
3,2174011904,$0,0         0,L A CITY,"","0, 0",0,0
3,2175005900,"$39,189",0         0,L A CITY,"","0, 0",0,0
3,2175025900,"$37,653",0         0,L A CITY,"","0, 0",0,0
3,2176002900,$634,0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2176005901,"$4,605",0         0,L A CITY S BY S,"","0, 0",0,0
3,2176012900,"$43,161",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2176025900,"$57,636",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2176027900,"$28,815",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2176028900,"$41,494",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2176031900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
3,2177011900,"$3,708",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2177015900,"$62,756",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2177016901,"$56,481",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2177038900,"$13,185",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
3,2178003902,"$70,557",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178003903,"$2,390",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178003904,"$111,403",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178003905,"$57,562",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178003906,"$3,791",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178003907,"$3,255",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178003908,"$15,606",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178003909,"$156,060",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178006903,"$21,848",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178006904,"$7,803",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178010903,"$197,676",0         0,L A CITY PARKS,"","0, 0",0,0
3,2178011900,"$92,813",0         0,L A CITY,"","0, 0",0,0
3,2178022900,"$1,276",0         0,L A CITY,"","0, 0",0,0
3,2180024900,"$69,034",0         0,L A CITY,"","0, 0",0,0
3,2180025900,"$22,280",0         0,L A CITY,"","0, 0",0,0
3,2181016901,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2181017900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2181018900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2181032900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
5,2182026900,$10,0         0,L A CITY S BY S,"","0, 0",0,0
3,2184006900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
5,2184013900,"$46,107",0         0,L A CITY,"","0, 0",0,0
5,2184026901,"$4,605",0         0,L A CITY,"","0, 0",0,0
5,2184026902,"$138,334",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
5,2184027901,"$714,743",0         0,L A CITY DEPT OF WATER AND POWER,"","0, 0",0,0
5,2184028900,"$58,787",0         0,L A CITY,"","0, 0",0,0
5,2184028901,"$2,938",0         0,L A CITY,"","0, 0",0,0
6,2204002900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2204002901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2204003900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2204004900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
12,2205001900,"$253,615",0         0,L A CITY AIRPORT,"","0, 0",0,0
12,2205001901,$0,0         0,LACMTA,"","0, 0",0,0
6,2205003901,"$256,177",0         0,L A CITY AIRPORT,"","0, 0",0,0
6,2205003903,$0,0         0,LACMTA,"","0, 0",0,0
6,2205003906,$0,0         0,LA CITY AIRPORT,"","0, 0",0,0
6,2205004901,"$418,853",0         0,L A CITY,"","0, 0",0,0
6,2205010901,"$3,676,219",0         0,L A CITY,"","0, 0",0,0
6,2205010902,"$1,276",0         0,L A CITY,"","0, 0",0,0
6,2205010903,"$1,276",0         0,L A CITY,"","0, 0",0,0
6,2205010905,"$6,442,994",0         0,L A CITY,"","0, 0",0,0
6,2206001900,$0,0         0,LACMTA,"","0, 0",0,0
6,2206001901,$0,0         0,LACMTA,"","0, 0",0,0
6,2206004900,$0,0         0,LACMTA,"","0, 0",0,0
6,2206005900,$0,0         0,LACMTA,"","0, 0",0,0
6,2206012900,$108,0         0,L A CITY S BY S,"","0, 0",0,0
6,2206012901,$108,0         0,L A CITY S BY S,"","0, 0",0,0
6,2209011912,"$45,608",0         0,L A CITY S BY S,"","0, 0",0,0
6,2209030901,"$8,576",0         0,L A CITY,"","0, 0",0,0
6,2209031900,"$31,505",0         0,L A CITY,"","0, 0",0,0
6,2209031901,"$13,315",0         0,L A CITY,"","0, 0",0,0
6,2209031902,$0,0         0,LACMTA,"","0, 0",0,0
6,2209043901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2210003901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2210015900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2210016900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2210017900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2210020901,$124,0         0,L A CITY,"","0, 0",0,0
6,2210020902,$124,0         0,L A CITY,"","0, 0",0,0
6,2210021900,"$65,547",0         0,L A CITY,"","0, 0",0,0
6,2210024900,$0,0         0,LACMTA,"","0, 0",0,0
6,2210025900,"$704,496",0         0,L A CITY,"","0, 0",0,0
6,2210027900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2210027905,$124,0         0,L A CITY,"","0, 0",0,0
6,2210027906,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2212001900,$0,0         0,LACMTA,"","0, 0",0,0
6,2212028900,"$508,547",0         0,L A CITY,"","0, 0",0,0
6,2212028901,"$1,556,400",0         0,L A CITY,"","0, 0",0,0
6,2214023900,$120,0         0,L A CITY,"","0, 0",0,0
6,2214024902,$120,0         0,L A CITY S BY S,"","0, 0",0,0
2,2214024903,$0,0         0,LACMTA,"","0, 0",0,0
2,2215001902,$120,0         0,L A CITY,"","0, 0",0,0
2,2215001910,$0,0         0,L A CITY,"","0, 0",0,0
2,2215001912,$0,0         0,L A CITY DEPT OF TRANSPORTATION,"","0, 0",0,0
2,2215009900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215011900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215017903,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215017904,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215019901,"$8,695",0         0,L A CITY S BY S,"","0, 0",0,0
2,2215021900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215023900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215023901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215024900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2215026901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216002900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216002901,"$1,402",0         0,L A CITY S BY S,"","0, 0",0,0
2,2216007900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216013900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216013901,$249,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216015900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216018900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216018901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216029900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216032900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216032901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2216032902,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2217009901,"$14,040",0         0,L A CITY,"","0, 0",0,0
6,2217010900,"$464,965",0         0,L A CITY,"","0, 0",0,0
6,2217012900,$0,0         0,L A CITY,"","0, 0",0,0
2,2217028900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
2,2217028901,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2218016900,$124,0         0,L A CITY,"","0, 0",0,0
6,2218018900,$124,0         0,L A CITY,"","0, 0",0,0
6,2220002900,$124,0         0,L A CITY,"","0, 0",0,0
6,2220002904,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2220003904,$0,0         0,L A CITY S BY S,"","0, 0",0,0
6,2220009900,$124,0         0,L A CITY S BY S,"","0, 0",0,0
6,2221011900,$124,0         0,L A CITY,"","0, 0",0,0
