row,Non Profit,Address,CD #,Lease Start,Lease Exp.,Lease Term,Dept,Status,Condition per Construction Div Project Scope,Street Number,Street Name,Zip Code,Notes,compiled_address,compiled_lat,compiled_lng
101,Chatsworth Chamber of Commerce&Trans. Mus,"10040 Old Depot Plaza Rd., Chatsworth, 91311",12,,5/1/03,Renewal In Process,GSD,,Tenant Improvements for CD12,10040,Depot Plaza,91311,,"10040 Old Depot Plaza Rd, Chatsworth, CA 91311, USA",34.2519101,-118.5987594
47,McGroarty Arts Center,"7570 McGroarty Terrace.,Tujunga 91042",2,,12/31/03,,Cultural Affairs,,"Tenant Improvements Code Corrections, ADA Compliance",7570,McGroarty,91042,,"7570 McGroarty Terrace, Tujunga, CA 91042, USA",34.2498568,-118.2977556
48,William Reagh L.A. Photography Center,"2332 West 4th St., L.A. 90057",1,,12/31/03,,Cutural Affairs,,"Tenant Improvements, ADA Compliance, Seismic Retrofit",2332,4,90057,,"2332 W 4th St, Los Angeles, CA 90057, USA",34.0635752,-118.2759266
49,Lankershim Arts Center,"5108 Lankershim Blvd., N. Hollywood 91602",4,,12/31/03,,Cultural Affairs,,No recent inspection,5108,Lankershim,91602,,"5108 Lankershim Blvd, North Hollywood, CA 91601, USA",34.163251,-118.373289
44,Art in the Park,"5568 Via Marisol, L.A. 90042",14,,6/30/04,,Cultural Affairs,,"Tenant Improvements, ADA Compliance",5568,Marisol,90042,,"5568 Via Marisol, Los Angeles, CA 90042, USA",34.1043559,-118.1860433
45,Encino Media Center,"16593 Ventura Blvd., Encino 91316",5,,6/30/04,,Cultural Affairs,,"Tenant Improvements, ADA Compliance, Seismic Retrofit",16593,Ventura,91316,,"Ventura Blvd, Encino, CA 91316, USA",34.1615296,-118.5144263
46,Eagle Rock Community Cultural Center,"2225 Colorado Blvd., L.A. 90041",14,,6/30/04,,Cultural Affairs,,Replace Flooring,2225,Colorado,90041,,"2225 Colorado Blvd, Los Angeles, CA 90041, USA",34.1396237,-118.214894
51,Las Aztecas,"3514 N. Broadway, L.A. 90031",1,,6/30/05,,Cultural Affairs,,No recent inspection,3514,Broadway,90031,,"3514 N Broadway, Los Angeles, CA 90031, USA",34.0738118,-118.2029041
90,Arnold's All Stars,"6501 Fountain Ave., L.A 90038",4,,6/30/05,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",6501,Fountain,90038,,"6501 Fountain Ave, Los Angeles, CA 90028, USA",34.0943319,-118.3310583
83,Wilmington Historical Society,"309 W. Opp St., Wilmington, 90744",15,,9/19/05,,GSD,,No recent inspection,309,Opp,90744,,"309 W Opp St, Wilmington, CA 90744, USA",33.7829034,-118.2654965
56,L.A. Center for Education Research,"1718 N. Cherokee Ave. Space A, L.A. 90028",13,7/15/95,10/31/05,,GSD?,,Tenant Improvements,1718,Cherokee,90028,,"1718 N Cherokee Ave, Los Angeles, CA 90028, USA",34.1021761,-118.3345798
82,Harbor Area Gang Alternative Program,"309 W. Opp St., Wilmington, 90744",15,,11/20/05,,HCID,,No recent inspection,309,Opp,90744,,"309 W Opp St, Wilmington, CA 90744, USA",33.7829034,-118.2654965
58,Greater Little Tokyo Anti-Crime Assoc.,"307 E. 1st St., L.A. 90012",9,3/20/96,3/19/06,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",307,1,90012,,"307 E 1st St, Los Angeles, CA 90012, USA",34.0503346,-118.2405682
29,Mount Washington Preschool & Child Care Cen.,"4601 N. Figueroa St., L.A. 90042",14,12/13/01,12/12/06,,HCID,,No recent inspection,4601,Figueroa,90042,,"4601 N Figueroa St, Los Angeles, CA 90065, USA",34.098501,-118.2055904
75,Odyssey Theatre Ensemble,"2055 Sepulveda Blvd., L.A.",5,,8/31/08,,GSD,,No recent inspection,2055,Sepulveda,90025,,"2055 S Sepulveda Blvd, Los Angeles, CA 90025, USA",34.0416494,-118.4395274
18,Harbor Comm. Dev./544 Hilltop Nursery,"3625 Marathon St., L.A. 90026",13,,5/1/09,,Rec&Parks,,No recent inspection,3625,Marathon,90026,,"3625 Marathon St, Los Angeles, CA 90026, USA",34.083435,-118.281797
100,Boys and Girls Club of the South Bay,"802 W. Gardena Blvd., L.A. 90247",15,7/1/04,6/30/09,,GSD,,No recent inspection,802,Gardena,90247,,"802 W Gardena Blvd, Gardena, CA 90247, USA",33.8814567,-118.2893768
52,Hollywood Police Support Association,"6614-6618 Fountain Ave., L.A. 90038",4,8/3/99,8/4/09,,GSD,ground lease,community garden,6614,Fountain,90038,,"6618 Fountain Ave, Los Angeles, CA 90028, USA",34.0943722,-118.3335819
72,Foundation for Early Childhood Educ.,"5636 Fountain Ave., L.A. 90038",13,8/5/99,8/4/09,,HCID,ground lease,non-City trailers,5636,Fountain,90038,,"5636 Fountain Ave, Los Angeles, CA 90028, USA",34.0947318,-118.3122207
103,"Ebony Repertory Theater, Inc.",4718 W. Washington Blvd.,10,2/1/08,1/31/10,,GSD,,,4718,Washington,90016,,"4718 W Washington Blvd, Los Angeles, CA 90016, USA",34.039529,-118.342188
54,Central City Action Committee,"534 E. Edgeware Rd., L.A. 90026",1,7/18/00,7/17/10,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",534,Edgeware,90026,,"534 E Edgeware Rd, Los Angeles, CA 90026, USA",34.0674411,-118.2538209
102,L.A. Co. Metropolitan Trans. Authority,"2100 1st. St., Sylmar",7,6/18/96,6/17/11,ground lease,GSD,,No recent inspection,2100,1,91342,,"2100 1st St, San Fernando, CA 91340, USA",34.291661,-118.447963
73,Foundation for Early Childhood Educ.,"5637 LaMirada Ave., L.A.90038",13,2/20/02,6/30/11,,HCID,ground lease,non-City trailers,5637,Mirada,90038,,"5637 La Mirada Ave, Los Angeles, CA 90038, USA",34.0939638,-118.3122599
108,College Track,2130 East 1st Street,14,6/3/13,5/31/13,10 yrs,GSD,,Good Condition,2130,First,90033,,"2130 E 1st St, Los Angeles, CA 90033, USA",34.0443542,-118.2128116
33,"Plaza de la Raza, Inc.","3540 N. Mission Rd., L.A. 90031",1,,12/31/15,,HCID,,Tenant Improvements,3540,Mission,90031,,"3540 N Mission Rd, Los Angeles, CA 90031, USA",34.0672034,-118.2034603
55,El Centro Del Pueblo,"1146-1152 Glendale Blvd., L.A. 90026",13,4/12/02,4/11/17,,HCID,ground lease,No recent inspection,1146,Glendale,90026,,"1146 Glendale Blvd, Los Angeles, CA 90026, USA",34.0765632,-118.2612011
107,Dignity Health / Northridge Hospital,"14651 Oxnard Street, LA 91411",7,7/1/13,6/30/18,5 yrs,GSD,,Tenant improves and maintains,14651,Oxnard,91411,,"14651 Oxnard St, Van Nuys, CA 91411, USA",34.1796771,-118.4525473
94,Venice Community Housing,"650 Westminster Ave., Venice 90291",11,,1/31/22,,HCID?,,No recent inspection,650,Westminster,90291,,"650 Westminster Ave, Venice, CA 90291, USA",33.9944939,-118.4660603
78,Skid Row Development Center,"434 S. San Pedro St., L.A. 90013",9,7/1/82,6/30/22,,GSD,,No recent inspection,434,San Pedro,90013,,"434 S San Pedro St, Los Angeles, CA 90013, USA",34.044643,-118.243194
19,"Hollenbeck Police Business Council, Inc.","2015 E. 1st St., L.A. 90033",14,12/18/74,12/17/24,,GSD,,No recent inspection,2015,1,90033,,"2015 E 1st St, Los Angeles, CA 90033, USA",34.0453735,-118.2142092
105,Latino Theater Company & Latino Museum,"514 S. Los Angeles St., Los Angeles 90012",9,1/4/06,1/3/26,,GSD,,,514,Los Angeles,90012,,"514 N Los Angeles St, Los Angeles, CA 90012, USA",34.0555907,-118.2388604
21,"Kedren Community Health Center, Inc.","710 E. 111th Place., L.A. 90059",15,,10/9/27,,HCID,,No recent inspection,710,111,90059,,"710 E 111th Pl, Los Angeles, CA 90059, USA",33.9342308,-118.2623688
23,"LAMP, Inc.","526 S.San Pedro St/527 S.Crocker St., L.A. 90012",9,,12/31/29,,HCID,,"Tenant Improvements, ADA Compliance",526,San Pedro,90012,,"527 Crocker St, Los Angeles, CA 90013, USA",34.042988,-118.2436264
70,L. A Police Historical Museum,"6045 York Blvd., L.A. 90042",14,12/20/00,12/19/30,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",6045,York,90042,,"6045 York Blvd, Los Angeles, CA 90042, USA",34.1181185,-118.1876209
59,Beyond Baroque Foundation,"681 N. Venice Blvd., Venice 90291",9,4/13/98,2/28/33,,GSD,,No recent inspection,681,Venice,90291,,"681 N Venice Blvd, Venice, CA 90291, USA",33.9913149,-118.458412
60,L.A. Theatre Works,"681 N. Venice Blvd., Venice 90291",9,4/13/98,2/28/33,,GSD,,No recent inspection,681,Venice,90291,,"681 N Venice Blvd, Venice, CA 90291, USA",33.9913149,-118.458412
71,L.A Fire Dept. Historical Society,"1355 N. Caheunga Blvd., L.A.",13,3/27/03,4/30/33,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",1355,Caheunga,90028,,"1355 N Cahuenga Blvd, Los Angeles, CA 90028, USA",34.0959003,-118.3299727
106,Little Tokyo Service Center,"245-249 Los Angeles Street, 90012",9,6/1/11,5/1/36,,Aging,,Trying to build a new gymnasium,245,Los Angeles,90012,,"249 S Los Angeles St, Los Angeles, CA 90012, USA",34.049279,-118.244642
63,Culver City Redevelopment Agency,"9015 Venice Blvd., Venice 90232",10,6/8/87,6/7/37,,Rec&Parks?,,No recent inspection,9015,Venice,90232,,"Venice Blvd, Los Angeles, CA, USA",34.0133379,-118.4165829
64,"Barrio Action Group, Inc.","4927 N. Huntington Dr., L.A. 90032",14,1/15/08,1/14/38,,GSD,,No recent inspection,4927,Huntington,90032,,"4927 Huntington Dr N, Los Angeles, CA 90032, USA",34.087465,-118.1763664
62,Museum of Contemporary Art,"134-152 N. Central Ave., L.A. 90012",9,6/21/01,2/28/46,,GSD,,Tenant Improvements,134,Central,90012,,"152 N Central Ave, Los Angeles, CA 90012, USA",34.049707,-118.2390815
76,Japanese American National Museum,"355-369 E. 1st St., L.A. 90012",9,10/1/02,3/30/52,,GSD,,No recent inspection,355,1,90012,,"369 E 1st St, Los Angeles, CA 90012, USA",34.049739,-118.238563
61,Social and Public Art Resources Center,"685 N. Venice Blvd., Venice 90291",9,6/1/98,5/31/53,,GSD,,No recent inspection,685,Venice,90291,,"685 N Venice Blvd, Venice, CA 90291, USA",33.9913465,-118.4583478
10,"Delta Sigma Theta Life Development, Inc.","2528 West Blvd., L.A. 90037",11,4/10/92,,Mo to Mo,Aging,,"Tenant Improvements, ADA Compliance",2528,West,90037,,"2528 West Blvd, Los Angeles, CA 90016, USA",34.033232,-118.340825
4,Bradley/Milken Youth & Family Center,"1773 E. Century Blvd., L.A. 90002",15,,,,HCID,,Tenant Improvements,1773,Century,90002,,"1773 E Century Blvd, Los Angeles, CA 90002, USA",33.9458581,-118.2410738
8,Community Coalition/Sub. Abuse Prev.,"8101-8113 S. Vermont Ave., L.A. 90044",8,lease in process,,,GSD,,New water service,8101,Vermont,90044,,"8113 S Vermont Ave, Los Angeles, CA 90044, USA",33.9652931,-118.2917564
14,Los Angeles Community Garden Council,"5863 S. Wall St., L.A. 90011",9,lease in process,,,HCID,,No recent inspection,5863,Wall,90011,,"5863 Wall St, Los Angeles, CA 90003, USA",33.9879774,-118.2717998
41,Central City Neighb. Org. & Youth Fair Chance,"501 S. Bixel, L.A. 90017",1,lease in process,,,HCID,,"Tenant Improvements, ADA Compliance",501,Bixel,90017,,"501 S Bixel St, Los Angeles, CA 90017, USA",34.0549533,-118.261983
74,Foundation for Early Childhood Educ.,"8835 Avalon Blvd., L.A.",9,Lease in process,,,HCID,ground lease,non-City trailers,8835,Avalon,90003,,"8835 Avalon Blvd, Los Angeles, CA 90003, USA",33.9563538,-118.2653594
77,Neighborhood Youth Association,"804 Broadway, Venice 90291",11,Lease in process,,,GSD,,No recent inspection,804,Broadway,90291,,"804 Broadway St, Venice, CA 90291, USA",33.9965163,-118.4646557
81,Wilmington Historical Society,"309 W. Opp St., Wilmington, 90744",15,Lease in process,,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",309,Opp,90744,,"309 W Opp St, Wilmington, CA 90744, USA",33.7829034,-118.2654965
87,Good Samaritan Counseling,"544 N. Avalon Blvd., Wilmington 90744",15,Lease in process,,,GSD?,,"Tenant Improvement, ADA Compliance, Seismic Retrofit",544,Avalon,90744,,"544 N Avalon Blvd, Wilmington, CA 90744, USA",33.7769461,-118.2618481
88,San Pedro Bay Historical Society,"638 S. Beacon St., San Pedro, 90731",15,Lease in process,,,GSD?,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",638,Beacon,90731,,"638 S Beacon St, San Pedro, CA 90731, USA",33.7384036,-118.2803235
89,Harbor Area Volunteer Center,"638 S. Beacon St., San Pedro, 90731",15,Lease in process,,,GSD?,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",638,Beacon,90731,,"638 S Beacon St, San Pedro, CA 90731, USA",33.7384036,-118.2803235
104,Tujunga Temporary Aid Center,"7747 Foohill Blvd., Tujunga 91402",2,Lease in process,,,GSD,,No recent inspection,7747,Foothill,91402,,"Sunland-Tujunga Municipal Building, 7747 Foothill Blvd, Tujunga, CA 91042, USA",34.2577962,-118.3009158
91,Project Restore,"200 N. Main St., L.A 90012",9,No Lease Agree.,,,GSD,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",200,Main,90012,,"200 N Main St, Los Angeles, CA 90012, USA",34.053015,-118.242749
9,Cypress Park Youth & Family Center,"929 Cypress Ave., L.A. 90065",1,,,,HCID,,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",929,Cypress,90065,,"929 Cypress Ave, Los Angeles, CA 90065, USA",34.0931915,-118.2248426
11,"Delta Sigma Theta Life Development, Inc.","2475 Washington Blvd., L.A. 90019",10,,,Mo to Mo,Aging,,"Tenant Improvements, ADA Compliance",2475,Washington,90019,,"2475 W Washington Blvd, Los Angeles, CA 90018, USA",34.0401698,-118.3171192
27,Milestone Center for Education Therapy,"5070 Slauson Ave., L.A. 90230",11,,,,Rec&Parks,,No recent inspection,5070,Slauson,90230,,"5070 Slauson Ave, Los Angeles, CA 90230, USA",33.9965759,-118.4114485
30,"O.P.I.C.A. Adult Day Care Center, Inc","11759 Missouri Ave., L.A. 90025",11,,,,Aging,,No recent inspection,11759,Missouri,90025,,"11759 Missouri Ave, Los Angeles, CA 90025, USA",34.0377617,-118.4533089
31,Pacoima Youth and Family Center,"11243 Glenoaks Blvd St. 30., Pacoima 91331",7,,,,HCID,CDDw/non prof ten,Tenant Improvements,11243,Glenoaks,91331,,"11243 Glenoaks Blvd #30, Pacoima, CA 91331, USA",34.273945,-118.4129115
35,S. Central Youth Opportunities Unlimited,"917-927 W. Manchester Blvd., L.A. 90044",8,,,,HCID,Run by CDD,No recent inspection,917,Manchester,90044,,"927 W Manchester Ave, Los Angeles, CA 90044, USA",33.9600966,-118.2899325
36,Tom Bradley W. L.A Youth & Fam. Cen.,"5213 W. Pico Blvd., L.A. 90031",10,,,,HCID,Run by CDD,New Building,5213,Pico,90031,,"5213 West Pico Boulevard, Los Angeles, CA 90019, USA",34.0484333,-118.351953
37,University Muslim Medical Association,"711 W. Florence Ave., L.A. 90044",8,,,Mo to Mo,GSD,,"Tenant Improvements, ADA Compliance, Major Remodle",711,Florence,90044,,"711 W Florence Ave, Los Angeles, CA 90044, USA",33.974914,-118.2863743
38,Vera Davis McClendon Youth & Fam. Cen.,"610 California St., Venice 90291",11,,,,HCID,Run By CDD,"Tenant Improvements, ADA Compliance, Seismic Retrofit,  Historic Restrofit",610,California,90291,,"610 California Ave, Venice, CA 90291, USA",33.9913248,-118.4652715
80,Organization for Needs of the Elderly,"17400 Victory Blvd., Encino",3,,,,Rec&Parks,,Water Meter Seperation,17400,Victory,91406,,"17400 Victory Blvd, Van Nuys, CA 91406, USA",34.1863834,-118.5129365
97,Barnarde Senior Citizen Center,"4935 Balboa Blvd., Encino, 91316",5,,,,Rec&Parks,,No recent inspection,4935,Balboa,91316,,"4935 Balboa Blvd, Encino, CA 91316, USA",34.1602917,-118.5014016
98,Canoga Park Senior Citizen Center,"7326 Jordan Ave., Canoga Park, 91303",3,,,,Rec&Parks,,No recent inspection,7326,Jordan,91303,,"7326 Jordan Ave, Canoga Park, CA 91303, USA",34.203646,-118.602516
109,Armenian Cultural Center,"5001 N Balboa Blvd, Encino",5,,,,GSD,,On hold due to zoning concerns,,,, Council Approved - In Process,"5001 Balboa Blvd, Encino, CA 91316, USA",34.1618487,-118.5012359
110,Pacoima Beautiful,"13520 Van Nuys Blvd, Pacoima",7,,,,GSD,,Sub lease agreement at City Attorney,,,, Council Approved - In Process,"13520 Van Nuys Blvd, Pacoima, CA 91331, USA",34.261761,-118.4275572
112,LA Conservation Corps ,"729 W. Manchester Ave, LA 90044",8,,,,GSD,,,,,,Non Profit Vacated Facility,"729 W Manchester Ave, Los Angeles, CA 90044, USA",33.9601164,-118.286175
